,name,id,position,start,end
204,Leonte Carroo,CarrLe00,WR,2016,2018
205,Chris Carson,CarsCh00,RB,2017,2020
206,Tra Carson,CarsTr01,RB,2018,2019
207,Cethan Carter ,CartCe00,TE,2017,2020
208,DeAndre Carter ,CartDe02,WR,2018,2020
209,Kyle Carter ,CartKy01,TE,2017,2017
210,James Casey,CaseJa00,TE,2009,2015
211,Matt Cassel,CassMa00,QB,2005,2018
212,Sergio Castillo,CastSe00,K,2020,2020
213,Chandler Catanzaro,CataCh00,K,2014,2018
214,Brent Celek,CeleBr00,TE,2007,2017
215,Garrett Celek,CeleGa00,TE,2012,2019
216,Quintez Cephus,CephQu00,WR,2020,2020
217,Scott Chandler,ChanSc00,TE,2007,2015
218,DJ Chark,CharDJ00,WR,2018,2020
219,Jamaal Charles,CharJa00,RB,2008,2018
220,Orson Charles,CharOr00,TE,2012,2018
221,Jehu Chesson,ChesJe00,WR,2017,2018
222,Dan Chisena,ChisDa00,WR,2020,2020
223,Gerald Christian,ChriGe00,TE,2016,2016
224,Nick Chubb,ChubNi00,RB,2018,2020
225,Jordan Chunn,ChunJo00,RB,2019,2019
226,Michael Clark,ClarMi00,WR,2017,2017
227,Jimmy Clausen,ClauJi00,QB,2010,2015
228,Charles Clay,ClayCh00,TE,2011,2019
229,Kaelin Clay,ClayKa00,WR,2015,2018
230,Chase Claypool ,ClayCh01,WR,2020,2020
231,Kellen Clemens,ClemKe00,QB,2006,2017
232,Corey Clement,ClemCo00,RB,2017,2020
233,Asante Cleveland,ClevAs00,TE,2014,2016
234,Tyrie Cleveland,ClevTy00,WR,2020,2020
235,Tyler Clutts,ClutTy00,RB,2011,2015
236,Sammie Coates,CoatSa00,WR,2015,2018
237,David Cobb,CobbDa00,RB,2015,2015
238,Randall Cobb,CobbRa00,WR,2011,2020
239,Chase Coffman ,CoffCh00,TE,2010,2016
240,Tarik Cohen,CoheTa00,RB,2017,2020
241,Keelan Cole,ColeKe00,WR,2017,2020
242,Matt Cole,ColeMa03,WR,2020,2020
243,Brandon Coleman,ColeBr00,WR,2014,2017
244,Corey Coleman,ColeCo00,WR,2016,2018
245,Derrick Coleman,ColeDe00,RB,2012,2018
246,Lavon Coleman,ColeLa02,RB,2018,2018
247,Tevin Coleman,ColeTe01,RB,2015,2020
248,Stacy Coley,ColeSt00,WR,2017,2018
249,Alex Collins,CollAl00,RB,2016,2020
250,Marques Colston,ColsMa00,WR,2006,2015
251,Tyler Conklin,ConkTy00,TE,2018,2020
252,Chris Conley,ConlCh00,WR,2015,2020
253,James Conner,ConnJa00,RB,2017,2020
254,Connor Cook,CookCo00,QB,2016,2016
255,Dalvin Cook,CookDa01,RB,2017,2020
256,Jared Cook,CookJa02,TE,2009,2020
257,Brandin Cooks,CookBr00,WR,2014,2020
258,Travis Coons,CoonTr00,K,2015,2017
259,Amari Cooper,CoopAm00,WR,2015,2020
260,Pharoh Cooper,CoopPh00,WR,2016,2020
261,Riley Cooper,CoopRi00,WR,2010,2015
262,Cody Core,CoreCo00,WR,2016,2019
263,Jerricho Cotchery,CotcJe00,WR,2004,2015
264,Nathan Cottrell,CottNa00,RB,2020,2020
265,Isaiah Coulter,CoulIs00,WR,2020,2020
266,Kirk Cousins ,CousKi00,QB,2012,2020
267,Keke Coutee,CoutKe00,WR,2018,2020
268,Chandler Cox,CoxxCh01,RB,2019,2020
269,Jeremy Cox,CoxxJe00,RB,2020,2020
270,Michael Crabtree,CrabMi00,WR,2009,2019
271,River Cracraft,CracRi00,WR,2018,2020
272,John Crockett,CrocJo00,RB,2015,2015
273,Jason Croom,CrooJa00,TE,2018,2020
274,Mason Crosby,CrosMa20,K,2007,2020
275,Alan Cross,CrosAl00,TE,2016,2018
276,Jamison Crowder,CrowJa00,WR,2015,2020
277,Isaiah Crowell,CrowIs00,RB,2014,2018
278,Victor Cruz,CruzVi00,WR,2010,2016
279,Sean Culkin,CulkSe00,TE,2017,2020
280,Jeff Cumberland,CumbJe00,TE,2010,2017
281,Billy Cundiff,cundibil01,K,2002,2015
282,Benny Cunningham,CunnBe01,RB,2013,2018
