,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
244,333,Josh Reynolds,LAR,WR,0.0,11/24/2020,@Buccaneers,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,10.7,18.0,0.0,0.0,0.0,0.0,0.0,4.7
246,240,Joshua Kelley,LAC,RB,0.0,11/22/2020,Jets,W 34 - 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,-0.5,4.0,0.0,2.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002
247,356,JuJu Smith-Schuster,PIT,WR,0.0,11/22/2020,@Jaguars,W 27 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,4.8,9.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004
248,215,Julio Jones,ATL,WR,0.0,11/22/2020,@Saints,L 9 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,19.5,22.0,0.0,0.0,0.0,0.0,0.0,4.9
250,193,Justin Herbert,LAC,QB,0.0,11/22/2020,Jets,W 34 - 28,37.0,49.0,366.0,7.5,3.0,0.0,3.0,19.0,116.5,2.0,11.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.740000000000002
251,233,Justin Jefferson,MIN,WR,0.0,11/22/2020,Cowboys,L 28 - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,86.0,28.7,39.0,1.0,0.0,0.0,0.0,0.0,16.1
253,206,K.J. Hamler,DEN,WR,0.0,11/22/2020,Dolphins,W 20 - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,8.8,16.0,0.0,0.0,0.0,0.0,0.0,5.5
255,292,K.J. Osborn,MIN,WR,0.0,11/22/2020,Cowboys,L 28 - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
256,53,Kalen Ballage,LAC,RB,0.0,11/22/2020,Jets,W 34 - 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,44.0,2.8,17.0,0.0,7.0,27.0,3.9,9.0,0.0,0.0,0.0,0.0,0.0,10.600000000000001
258,164,Kareem Hunt,CLE,RB,0.0,11/22/2020,Eagles,W 22 - 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.8,6.0,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,8.6
261,68,Keelan Cole,JAX,WR,0.0,11/22/2020,Steelers,L 3 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,3.6
262,6,Keenan Allen,LAC,WR,0.0,11/22/2020,Jets,W 34 - 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,145.0,9.1,21.0,1.0,1.0,1.0,0.0,0.0,26.5
263,56,Keke Coutee,HOU,WR,0.0,11/22/2020,Patriots,W 27 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0
