,count,mean,std,min,25%,50%,75%,max
D6_rush_yds,1589.0,99.5,56.45,0.0,64.0,97.0,133.0,323.0
D6_rush_td,1589.0,0.77,0.91,0.0,0.0,1.0,1.0,6.0
O6_rush_att,1589.0,24.02,10.31,0.0,19.0,25.0,31.0,54.0
O6_rush_yds,1589.0,101.57,57.45,0.0,65.0,99.0,136.0,313.0
O6_rush_td,1589.0,0.79,0.93,0.0,0.0,1.0,1.0,6.0
Label_pass_yds,1589.0,236.58,89.65,0.0,187.0,243.0,295.0,513.0
P1_home_game_False,1589.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
P1_home_game_NO_PLAY,1589.0,0.12,0.33,0.0,0.0,0.0,0.0,1.0
P1_home_game_True,1589.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
D1_home_game_BYE,1589.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0
D1_home_game_False,1589.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0
D1_home_game_True,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
P2_home_game_False,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
P2_home_game_NO_PLAY,1589.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0
P2_home_game_True,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
D2_home_game_BYE,1589.0,0.1,0.31,0.0,0.0,0.0,0.0,1.0
D2_home_game_False,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
D2_home_game_True,1589.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
P3_home_game_False,1589.0,0.41,0.49,0.0,0.0,0.0,1.0,1.0
P3_home_game_NO_PLAY,1589.0,0.17,0.37,0.0,0.0,0.0,0.0,1.0
P3_home_game_True,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
D3_home_game_BYE,1589.0,0.11,0.31,0.0,0.0,0.0,0.0,1.0
D3_home_game_False,1589.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
D3_home_game_True,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
P4_home_game_False,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
P4_home_game_NO_PLAY,1589.0,0.16,0.37,0.0,0.0,0.0,0.0,1.0
P4_home_game_True,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
D4_home_game_BYE,1589.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
D4_home_game_False,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
D4_home_game_True,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
P5_home_game_False,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
P5_home_game_NO_PLAY,1589.0,0.16,0.37,0.0,0.0,0.0,0.0,1.0
P5_home_game_True,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
D5_home_game_BYE,1589.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
D5_home_game_False,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
D5_home_game_True,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
P6_home_game_False,1589.0,0.43,0.49,0.0,0.0,0.0,1.0,1.0
P6_home_game_NO_PLAY,1589.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0
P6_home_game_True,1589.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0
D6_home_game_BYE,1589.0,0.09,0.28,0.0,0.0,0.0,0.0,1.0
D6_home_game_False,1589.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0
D6_home_game_True,1589.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0
