"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"50947-11500","QB","Colt","Colt McCoy","McCoy","5.28000020980835","1","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-130304","QB","Kevin","Kevin Davidson","Davidson","0","0","6000","CLE@PIT","CLE","PIT","","","","",""
"50947-130337","QB","Case","Case Cookus","Cookus","0","0","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-31047","QB","AJ","AJ McCarron","McCarron","8.949999809265137","2","6000","HOU@TEN","HOU","TEN","","","","",""
"50947-63819","WR","Darius","Darius Slayton","Slayton","11.6","5","6000","WAS@NYG","NYG","WAS","Q","Foot","","",""
"50947-52606","QB","David","David Blough","Blough","12.172000122070312","5","6000","DET@JAC","DET","JAC","","","","",""
"50947-32158","QB","Garrett","Garrett Gilbert","Gilbert","-0.06000000238418579","5","6000","CLE@PIT","CLE","PIT","","","","",""
"50947-70051","QB","Tyler","Tyler Huntley","Huntley","0","0","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-60840","QB","Jake","Jake Browning","Browning","0","0","6000","ATL@MIN","MIN","ATL","","","","",""
"50947-21941","QB","Robert","Robert Griffin III","Griffin III","-0.18000000715255737","3","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-31170","QB","Brandon","Brandon Allen","Allen","11.5","3","6000","CIN@IND","CIN","IND","","","","",""
"50947-22994","QB","Case","Case Keenum","Keenum","10.84800033569336","10","6000","CLE@PIT","CLE","PIT","","","","",""
"50947-40407","QB","Josh","Josh Dobbs","Dobbs","0","0","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-53729","QB","Mason","Mason Rudolph","Rudolph","11.780000305175781","10","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-62945","QB","Nick","Nick Tiano","Tiano","0","0","6000","HOU@TEN","HOU","TEN","","","","",""
"50947-69132","QB","Khalil","Khalil Tate","Tate","0","0","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-6679","QB","Matt","Matt Schaub","Schaub","6.780000305175781","5","6000","ATL@MIN","ATL","MIN","","","","",""
"50947-30231","QB","Jacoby","Jacoby Brissett","Brissett","0.3400000035762787","2","6000","CIN@IND","IND","CIN","","","","",""
"50947-23075","QB","Alex","Alex Tanney","Tanney","0.03999999910593033","1","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-8803","QB","Chase","Chase Daniel","Daniel","9.333333333333334","3","6000","DET@JAC","DET","JAC","","","","",""
"50947-61042","QB","Kendall","Kendall Hinton","Hinton","0","0","6000","DEN@NE","DEN","NE","","","","",""
"50947-64115","QB","Steven","Steven Montez","Montez","0","0","6000","WAS@NYG","WAS","NYG","","","","",""
"50947-6803","QB","Josh","Josh McCown","McCown","0.3799999952316284","2","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-95893","QB","Devlin","Devlin Hodges","Hodges","7.414999961853027","8","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-44715","QB","Cooper","Cooper Rush","Rush","0","0","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-33463","QB","Paxton","Paxton Lynch","Lynch","0","0","6000","CLE@PIT","PIT","CLE","","","","",""
"50947-52929","QB","Jake","Jake Luton","Luton","0","0","6000","DET@JAC","JAC","DET","","","","",""
"50947-69333","QB","Jacob","Jacob Eason","Eason","0","0","6000","CIN@IND","IND","CIN","","","","",""
"50947-29445","QB","Sean","Sean Mannion","Mannion","0.18000000715255737","3","6000","ATL@MIN","MIN","ATL","","","","",""
"50947-28434","QB","Trevor","Trevor Siemian","Siemian","0.11999999731779099","1","6000","HOU@TEN","TEN","HOU","","","","",""
"50947-46866","QB","Ryan","Ryan Finley","Finley","8.886666615804037","3","6000","CIN@IND","CIN","IND","","","","",""
"50947-25410","QB","Mike","Mike Glennon","Glennon","2.119999885559082","2","6000","DET@JAC","JAC","DET","","","","",""
"50947-61253","QB","J'mar","J'mar Smith","Smith","0","0","6000","DEN@NE","NE","DEN","","","","",""
"50947-104281","QB","Jake","Jake Dolegala","Dolegala","0","0","6000","DEN@NE","NE","DEN","","","","",""
"50947-41827","QB","P.J.","P.J. Walker","Walker","0","0","6000","CHI@CAR","CAR","CHI","","","","",""
"50947-55148","QB","Clayton","Clayton Thorson","Thorson","0","0","6000","WAS@NYG","NYG","WAS","","","","",""
"50947-14211","RB","Mark","Mark Ingram II","Ingram II","7.3","5","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-69531","QB","Jalen","Jalen Hurts","Hurts","1.1066666444142659","3","6000","BAL@PHI","PHI","BAL","","","","",""
"50947-72640","QB","Cole","Cole McDonald","McDonald","0","0","6000","HOU@TEN","TEN","HOU","","","","",""
"50947-56286","QB","Trace","Trace McSorley","McSorley","0.10000000149011612","1","6000","BAL@PHI","BAL","PHI","","","","",""
"50947-73273","RB","David","David Montgomery","Montgomery","11.819999694824219","5","5900","CHI@CAR","CHI","CAR","","","","",""
"50947-85671","WR","Justin","Justin Jefferson","Jefferson","10.519999694824218","5","5900","ATL@MIN","MIN","ATL","","","","",""
"50947-71705","TE","Noah","Noah Fant","Fant","11.350000381469727","4","5800","DEN@NE","DEN","NE","O","Ankle","","",""
"50947-22031","WR","T.Y.","T.Y. Hilton","Hilton","6.519999694824219","5","5800","CIN@IND","IND","CIN","","","","",""
"50947-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","6.449999809265137","4","5800","DET@JAC","DET","JAC","","","","",""
"50947-87859","WR","Laviska","Laviska Shenault Jr.","Shenault Jr.","9.95999984741211","5","5800","DET@JAC","JAC","DET","","","","",""
"50947-90933","RB","Antonio","Antonio Gibson","Gibson","11.4","5","5800","WAS@NYG","WAS","NYG","","","","",""
"50947-48116","TE","Jonnu","Jonnu Smith","Smith","15.274999618530273","4","5800","HOU@TEN","TEN","HOU","","","","",""
"50947-71706","TE","T.J.","T.J. Hockenson","Hockenson","9.875","4","5700","DET@JAC","DET","JAC","","","","",""
"50947-90561","WR","Jerry","Jerry Jeudy","Jeudy","9.225000381469727","4","5700","DEN@NE","DEN","NE","","","","",""
"50947-66008","WR","Diontae","Diontae Johnson","Johnson","6.775000095367432","4","5700","CLE@PIT","PIT","CLE","O","Back","","",""
"50947-29501","WR","Brandin","Brandin Cooks","Cooks","8.980000305175782","5","5700","HOU@TEN","HOU","TEN","","","","",""
"50947-64576","RB","Damien","Damien Harris","Harris","10","1","5600","DEN@NE","NE","DEN","","","","",""
"50947-79998","WR","Keelan","Keelan Cole","Cole","10.11999969482422","5","5600","DET@JAC","JAC","DET","","","","",""
"50947-24920","RB","Devonta","Devonta Freeman","Freeman","8.5","3","5600","WAS@NYG","NYG","WAS","","","","",""
"50947-31394","WR","Jarvis","Jarvis Landry","Landry","8.776000213623046","5","5600","CLE@PIT","CLE","PIT","Q","Ribs","","",""
"50947-27338","RB","Rex","Rex Burkhead","Burkhead","11.725000381469727","4","5600","DEN@NE","NE","DEN","","","","",""
"50947-41872","TE","Evan","Evan Engram","Engram","6.1200000762939455","5","5600","WAS@NYG","NYG","WAS","","","","",""
"50947-83074","TE","Dallas","Dallas Goedert","Goedert","8.766666412353516","3","5500","BAL@PHI","PHI","BAL","IR","Ankle","","",""
"50947-73111","WR","Chase","Chase Claypool","Claypool","16","4","5500","CLE@PIT","PIT","CLE","","","","",""
"50947-6703","RB","Adrian","Adrian Peterson","Peterson","8.899999618530273","4","5500","DET@JAC","DET","JAC","","","","",""
"50947-52916","WR","Russell","Russell Gage","Gage","7.740000152587891","5","5500","ATL@MIN","ATL","MIN","","","","",""
"50947-89981","WR","Tee","Tee Higgins","Higgins","10.675000190734863","4","5500","CIN@IND","CIN","IND","","","","",""
"50947-11485","WR","Golden","Golden Tate","Tate","5.875","4","5400","WAS@NYG","NYG","WAS","","","","",""
"50947-11512","TE","Jimmy","Jimmy Graham","Graham","9.88000030517578","5","5400","CHI@CAR","CHI","CAR","","","","",""
"50947-45439","WR","Corey","Corey Davis","Davis","11.366666158040365","3","5400","HOU@TEN","TEN","HOU","IR","Illness","","",""
"50947-91598","RB","D'Andre","D'Andre Swift","Swift","8.774999618530273","4","5400","DET@JAC","DET","JAC","","","","",""
"50947-64031","TE","Hayden","Hayden Hurst","Hurst","7.3","5","5400","ATL@MIN","ATL","MIN","","","","",""
"50947-69168","WR","N'Keal","N'Keal Harry","Harry","7.449999809265137","4","5400","DEN@NE","NE","DEN","","","","",""
"50947-57091","WR","Tim","Tim Patrick","Patrick","10.225000381469727","4","5400","DEN@NE","DEN","NE","","","","",""
"50947-57651","WR","Travis","Travis Fulgham","Fulgham","19.450000762939453","2","5300","BAL@PHI","PHI","BAL","","","","",""
"50947-40434","WR","Greg","Greg Ward","Ward","7.919999694824218","5","5300","BAL@PHI","PHI","BAL","","","","",""
"50947-6739","WR","DeSean","DeSean Jackson","Jackson","5.700000127156575","3","5300","BAL@PHI","PHI","BAL","O","Hamstring","","",""
"50947-24533","TE","Mo","Mo Alie-Cox","Alie-Cox","7.380000305175781","5","5300","CIN@IND","IND","CIN","O","Knee","","",""
"50947-40126","TE","Austin","Austin Hooper","Hooper","5.959999847412109","5","5200","CLE@PIT","CLE","PIT","","","","",""
"50947-28930","RB","James","James White","White","8.050000190734863","2","5200","DEN@NE","NE","DEN","","","","",""
