,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total
173,Jalen Reagor,WR,PHI,-,-,-,-,-,1,55,-,-,-,-,,6.50
174,Antonio Gibson,RB,WAS,-,-,-,36,-,2,8,-,-,-,-,,6.40
175,Joe Mixon,RB,CIN,-,-,-,69,-,1,2,-,-,-,-,,6.10
176,Preston Williams,WR,MIA,-,-,-,-,-,2,41,-,-,-,-,,6.10
177,Mike Gesicki,TE,MIA,-,-,-,-,-,3,30,-,-,-,-,,6.00
178,Kyle Juszczyk,RB,SF,-,-,-,7,-,1,41,-,-,-,-,,5.80
179,Nick Chubb,RB,CLE,-,-,-,60,-,1,6,-,-,-,-,,5.60
180,Jakeem Grant,WR,MIA,-,-,-,-,-,3,25,-,-,-,-,,5.50
181,Ryan Fitzpatrick,QB,MIA,191,-,3,18,-,-,-,-,-,-,1,,5.44
182,Kendrick Bourne,WR,SF,-,-,-,-,-,2,34,-,-,-,-,,5.40
183,Tyler Ervin,RB,GB,-,-,-,38,-,1,6,-,-,-,-,,5.40
184,Cam Akers,RB,LA,-,-,-,39,-,1,4,-,-,-,-,,5.30
185,Taysom Hill,QB,NO,38,-,-,13,-,1,14,-,-,-,-,,5.22
186,Odell Beckham Jr.,WR,CLE,-,-,-,-,-,3,22,-,-,-,-,,5.20
187,Tony Pollard,RB,DAL,-,-,-,10,-,2,22,-,-,-,-,,5.20
188,Demarcus Robinson,WR,KC,-,-,-,-,-,3,20,-,-,-,-,,5.00
189,Darrel Williams,RB,KC,-,-,-,23,-,2,7,-,-,-,-,,5.00
190,Latavius Murray,RB,NO,-,-,-,48,-,-,-,-,-,-,-,,4.80
191,Kyle Rudolph,TE,MIN,-,-,-,-,-,2,28,-,-,-,-,,4.80
192,Isaiah McKenzie,WR,BUF,-,-,-,-,-,3,17,-,-,-,-,,4.70
193,Breshad Perriman,WR,NYJ,-,-,-,-,-,3,17,-,-,-,-,,4.70
194,Michael Thomas,WR,NO,-,-,-,-,-,3,17,-,-,-,-,,4.70
195,Justin Jefferson,WR,MIN,-,-,-,-,-,2,26,-,-,-,-,,4.60
196,Dawson Knox,TE,BUF,-,-,-,-,-,2,26,-,-,-,-,,4.60
197,Phillip Lindsay,RB,DEN,-,-,-,24,-,1,11,-,-,-,-,,4.50
198,Randall Cobb,WR,HOU,-,-,-,-,-,2,23,-,-,-,-,,4.30
199,J.J. Taylor,RB,NE,-,-,-,28,-,1,4,-,-,-,-,,4.20
200,Dan Arnold,TE,ARI,-,-,-,-,-,2,21,-,-,-,-,,4.10
201,Corey Clement,RB,PHI,-,-,-,19,-,2,2,-,-,-,-,,4.10
202,Dontrelle Inman,WR,WAS,-,-,-,-,-,2,21,-,-,-,-,,4.10
203,Van Jefferson,WR,LA,-,-,-,-,-,1,31,-,-,-,-,,4.10
204,Cordarrelle Patterson,WR,CHI,-,-,-,19,-,1,12,-,-,-,-,,4.10
205,Hunter Renfrow,WR,LV,-,-,-,-,-,2,21,-,-,-,-,,4.10
206,Mo Alie-Cox,TE,IND,-,-,-,-,-,2,20,-,-,-,-,,4.00
207,Brandin Cooks,WR,HOU,-,-,-,-,-,2,20,-,-,-,-,,4.00
208,Brian Hill,RB,ATL,-,-,-,12,-,2,8,-,-,-,-,,4.00
209,Darren Fells,TE,HOU,-,-,-,-,-,2,19,-,-,-,-,,3.90
210,Zach Pascal,WR,IND,-,-,-,-,-,2,18,-,-,-,-,,3.80
211,C.J. Board,WR,NYG,-,-,-,-,-,2,17,-,-,-,-,,3.70
212,James Conner,RB,PIT,-,-,-,9,-,2,8,-,-,-,-,,3.70
213,John Ross,WR,CIN,-,-,-,-,-,2,17,-,-,-,-,,3.70
214,Kaden Smith,TE,NYG,-,-,-,-,-,2,17,-,-,-,-,,3.70
215,Mike Thomas,WR,CIN,-,-,-,-,-,2,17,-,-,-,-,,3.70
216,Gabriel Davis,WR,BUF,-,-,-,-,-,2,16,-,-,-,-,,3.60
217,Marvin Hall,WR,DET,-,-,-,-,-,1,26,-,-,-,-,,3.60
218,Deonte Harris,WR,NO,-,-,-,9,-,1,17,-,-,-,-,,3.60
219,Ito Smith,RB,ATL,-,-,-,4,-,3,2,-,-,-,-,,3.60
220,Ian Thomas,TE,CAR,-,-,-,-,-,2,16,-,-,-,-,,3.60
221,Austin Hooper,TE,CLE,-,-,-,-,-,2,15,-,-,-,-,,3.50
222,Ryan Izzo,TE,NE,-,-,-,-,-,1,25,-,-,-,-,,3.50
