,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
405,PHI,MIN,2016-10-23,7,True,24.0,41.0,58.5,224.0,1.0,1.0,6.0,5.46,27.0,93.0,3,0.0,4.0
406,PHI,DAL,2016-10-30,8,False,19.0,40.0,47.5,287.0,2.0,1.0,2.0,7.17,33.0,157.0,4,1.0,2.0
407,PHI,NYG,2016-11-06,9,False,22.0,36.0,61.1,257.0,4.0,2.0,1.0,7.14,24.0,54.0,2,0.0,0.0
408,PHI,ATL,2016-11-13,10,True,18.0,33.0,54.5,267.0,1.0,1.0,2.0,8.09,13.0,48.0,3,0.0,0.0
409,PHI,SEA,2016-11-20,11,False,19.0,32.0,59.4,287.0,2.0,0.0,1.0,8.97,29.0,150.0,5,1.0,0.0
410,PHI,GB,2016-11-28,12,True,30.0,39.0,76.9,313.0,2.0,0.0,0.0,8.03,27.0,72.0,2,1.0,1.0
411,PHI,CIN,2016-12-04,13,False,23.0,31.0,74.2,332.0,2.0,0.0,0.0,10.71,33.0,80.0,2,1.0,1.0
412,PHI,WSH,2016-12-11,14,True,14.0,21.0,66.7,234.0,2.0,1.0,2.0,11.14,23.0,107.0,4,2.0,0.0
413,PHI,BAL,2016-12-18,15,False,16.0,30.0,53.3,206.0,2.0,1.0,3.0,6.87,24.0,151.0,6,1.0,2.0
414,PHI,NYG,2016-12-22,16,True,38.0,63.0,60.3,356.0,1.0,3.0,0.0,5.65,25.0,114.0,4,0.0,2.0
415,PHI,DAL,2017-01-01,17,True,16.0,29.0,55.2,151.0,1.0,2.0,3.0,5.21,21.0,69.0,3,0.0,1.0
416,PIT,WSH,2016-09-12,1,False,30.0,43.0,69.8,329.0,0.0,2.0,0.0,7.65,12.0,55.0,4,1.0,1.0
417,PIT,CIN,2016-09-18,2,True,31.0,54.0,57.4,366.0,1.0,0.0,1.0,6.78,18.0,46.0,2,0.0,2.0
418,PIT,PHI,2016-09-25,3,False,23.0,31.0,74.2,301.0,2.0,0.0,0.0,9.71,30.0,125.0,4,2.0,1.0
