,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
87,CHI,PHI,2019-11-03,9,False,10.0,21.0,47.6,125.0,0.0,0.0,3.0,5.95,18.0,62.0,3,2.0,1.0
88,CHI,DET,2019-11-10,10,True,16.0,23.0,69.6,173.0,3.0,0.0,5.0,7.52,24.0,81.0,3,0.0,1.0
89,CHI,LAR,2019-11-17,11,False,25.0,47.0,53.2,199.0,1.0,1.0,3.0,4.23,24.0,74.0,3,0.0,0.0
90,CHI,NYG,2019-11-24,12,True,25.0,41.0,61.0,278.0,1.0,2.0,2.0,6.78,26.0,65.0,2,1.0,0.0
91,CHI,DET,2019-11-28,13,False,29.0,38.0,76.3,338.0,3.0,1.0,1.0,8.89,23.0,88.0,4,0.0,0.0
92,CHI,DAL,2019-12-05,14,True,23.0,31.0,74.2,244.0,3.0,1.0,2.0,7.87,34.0,151.0,4,1.0,3.0
93,CHI,GB,2019-12-15,15,False,29.0,53.0,54.7,334.0,1.0,2.0,3.0,6.3,27.0,96.0,3,0.0,2.0
94,CHI,KC,2019-12-22,16,True,18.0,34.0,52.9,157.0,0.0,0.0,3.0,4.62,22.0,101.0,4,0.0,1.0
95,CHI,MIN,2019-12-29,17,False,26.0,37.0,70.3,207.0,0.0,0.0,4.0,5.59,34.0,158.0,4,1.0,2.0
96,CIN,SEA,2019-09-08,1,False,35.0,51.0,68.6,418.0,2.0,0.0,5.0,8.2,14.0,34.0,2,0.0,4.0
97,CIN,SF,2019-09-15,2,True,26.0,42.0,61.9,311.0,2.0,1.0,4.0,7.4,19.0,25.0,1,0.0,1.0
98,CIN,BUF,2019-09-22,3,False,20.0,36.0,55.6,250.0,1.0,2.0,2.0,6.94,19.0,66.0,3,1.0,2.0
99,CIN,PIT,2019-09-30,4,False,21.0,37.0,56.8,171.0,0.0,1.0,8.0,4.62,19.0,73.0,3,0.0,2.0
100,CIN,ARI,2019-10-06,5,True,27.0,38.0,71.1,262.0,2.0,0.0,1.0,6.89,23.0,108.0,4,0.0,1.0
101,CIN,BAL,2019-10-13,6,False,21.0,39.0,53.8,235.0,0.0,1.0,2.0,6.03,14.0,33.0,2,1.0,0.0
102,CIN,JAX,2019-10-20,7,True,22.0,43.0,51.2,276.0,1.0,3.0,2.0,6.42,20.0,33.0,2,1.0,1.0
103,CIN,LAR,2019-10-27,8,False,32.0,52.0,61.5,329.0,1.0,0.0,5.0,6.33,22.0,104.0,4,0.0,0.0
104,CIN,BAL,2019-11-10,10,True,16.0,30.0,53.3,167.0,1.0,1.0,2.0,5.57,40.0,157.0,4,0.0,2.0
105,CIN,LV,2019-11-17,11,False,13.0,31.0,41.9,115.0,0.0,1.0,5.0,3.71,22.0,173.0,7,1.0,1.0
106,CIN,PIT,2019-11-24,12,True,12.0,26.0,46.2,192.0,1.0,0.0,4.0,7.38,21.0,86.0,4,0.0,3.0
107,CIN,NYJ,2019-12-01,13,True,22.0,37.0,59.5,243.0,1.0,0.0,1.0,6.57,25.0,44.0,2,1.0,1.0
108,CIN,CLE,2019-12-08,14,False,23.0,39.0,59.0,288.0,0.0,1.0,2.0,7.38,31.0,179.0,5,1.0,1.0
109,CIN,NE,2019-12-15,15,True,17.0,31.0,54.8,151.0,1.0,4.0,0.0,4.87,32.0,164.0,5,0.0,1.0
110,CIN,MIA,2019-12-22,16,False,33.0,56.0,58.9,396.0,4.0,0.0,4.0,7.07,25.0,59.0,2,0.0,1.0
111,CIN,CLE,2019-12-29,17,True,16.0,28.0,57.1,190.0,1.0,1.0,1.0,6.79,39.0,179.0,4,3.0,1.0
112,CLE,TEN,2019-09-08,1,True,25.0,38.0,65.8,285.0,1.0,3.0,5.0,7.5,20.0,102.0,5,1.0,0.0
113,CLE,NYJ,2019-09-16,2,False,19.0,35.0,54.3,325.0,1.0,1.0,3.0,9.29,21.0,70.0,3,1.0,0.0
114,CLE,LAR,2019-09-22,3,True,18.0,36.0,50.0,195.0,1.0,1.0,3.0,5.42,24.0,95.0,4,0.0,1.0
115,CLE,BAL,2019-09-29,4,False,20.0,31.0,64.5,342.0,1.0,1.0,1.0,11.03,29.0,193.0,6,4.0,0.0
116,CLE,SF,2019-10-07,5,False,9.0,24.0,37.5,120.0,0.0,2.0,4.0,5.0,18.0,102.0,5,0.0,3.0
117,CLE,SEA,2019-10-13,6,True,22.0,37.0,59.5,249.0,1.0,3.0,0.0,6.73,24.0,157.0,6,3.0,1.0
118,CLE,NE,2019-10-27,8,False,20.0,31.0,64.5,194.0,1.0,1.0,5.0,6.26,22.0,159.0,7,0.0,3.0
119,CLE,DEN,2019-11-03,9,False,27.0,42.0,64.3,273.0,1.0,0.0,2.0,6.5,29.0,90.0,3,0.0,0.0
120,CLE,BUF,2019-11-10,10,True,26.0,38.0,68.4,238.0,2.0,0.0,2.0,6.26,26.0,147.0,5,0.0,1.0
121,CLE,PIT,2019-11-14,11,True,17.0,32.0,53.1,193.0,2.0,0.0,1.0,6.03,35.0,104.0,3,1.0,0.0
122,CLE,MIA,2019-11-24,12,True,24.0,34.0,70.6,327.0,3.0,1.0,1.0,9.62,32.0,147.0,4,2.0,2.0
123,CLE,PIT,2019-12-01,13,False,18.0,34.0,52.9,196.0,1.0,1.0,5.0,5.76,24.0,106.0,4,0.0,1.0
124,CLE,CIN,2019-12-08,14,True,11.0,24.0,45.8,192.0,0.0,2.0,1.0,8.0,27.0,146.0,5,2.0,0.0
125,CLE,ARI,2019-12-15,15,False,30.0,43.0,69.8,247.0,2.0,1.0,1.0,5.74,23.0,152.0,6,1.0,1.0
126,CLE,BAL,2019-12-22,16,True,20.0,33.0,60.6,192.0,2.0,1.0,0.0,5.82,19.0,57.0,3,0.0,0.0
127,CLE,CIN,2019-12-29,17,False,12.0,27.0,44.4,279.0,3.0,3.0,6.0,10.33,20.0,74.0,3,0.0,1.0
128,DAL,NYG,2019-09-08,1,True,25.0,32.0,78.1,405.0,4.0,0.0,0.0,12.66,30.0,89.0,3,1.0,0.0
129,DAL,WSH,2019-09-15,2,False,26.0,30.0,86.7,269.0,3.0,1.0,1.0,8.97,34.0,213.0,6,1.0,0.0
130,DAL,MIA,2019-09-22,3,True,19.0,32.0,59.4,246.0,2.0,1.0,1.0,7.69,34.0,235.0,7,2.0,0.0
131,DAL,NO,2019-09-29,4,False,22.0,33.0,66.7,223.0,0.0,1.0,1.0,6.76,20.0,45.0,2,1.0,2.0
132,DAL,GB,2019-10-06,5,True,27.0,44.0,61.4,463.0,2.0,3.0,3.0,10.52,21.0,122.0,5,1.0,1.0
133,DAL,NYJ,2019-10-13,6,False,28.0,40.0,70.0,278.0,0.0,0.0,1.0,6.95,34.0,129.0,4,2.0,0.0
134,DAL,PHI,2019-10-20,7,True,21.0,27.0,77.8,239.0,1.0,1.0,3.0,8.85,36.0,189.0,5,3.0,1.0
135,DAL,NYG,2019-11-04,9,False,22.0,35.0,62.9,257.0,3.0,1.0,0.0,7.34,30.0,172.0,5,0.0,2.0
136,DAL,MIN,2019-11-10,10,True,28.0,47.0,59.6,397.0,3.0,1.0,1.0,8.45,22.0,50.0,2,0.0,0.0
137,DAL,DET,2019-11-17,11,False,29.0,46.0,63.0,444.0,3.0,0.0,1.0,9.65,24.0,75.0,3,1.0,1.0
138,DAL,NE,2019-11-24,12,False,19.0,33.0,57.6,212.0,0.0,1.0,0.0,6.42,26.0,109.0,4,0.0,2.0
139,DAL,BUF,2019-11-28,13,True,32.0,49.0,65.3,355.0,2.0,1.0,4.0,7.24,19.0,103.0,5,0.0,3.0
140,DAL,CHI,2019-12-05,14,False,27.0,49.0,55.1,334.0,1.0,0.0,2.0,6.82,22.0,82.0,3,2.0,0.0
141,DAL,LAR,2019-12-15,15,True,15.0,23.0,65.2,212.0,2.0,0.0,0.0,9.22,45.0,263.0,6,3.0,1.0
142,DAL,PHI,2019-12-22,16,False,25.0,44.0,56.8,265.0,0.0,0.0,2.0,6.02,16.0,54.0,3,0.0,1.0
