,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
Alexander Mattison,MIN,10.0,2.1,2.7,7.7,15.1,3.5,,0.8,6.9,0.4,0.6
Ito Smith,ATL,2.1,2.0,0.0,4.2,0.6,3.0,0.0,,,,0.5
Matt Breida,MIA,2.2,4.4,0.4,6.3,6.4,3.2,,1.3,,,0.4
Brandon Powell,ATL,,,4.2,,0.0,0.0,0.9,,7.8,,0.3
Logan Woodside,TEN,,,,,,,,,,,0.28
D'Onta Foreman,TEN,,,,,,,,3.7,1.1,8.8,0.1
Alex Armah,CAR,,,,,,,,,,,
Chad Beebe,MIN,,,1.2,,1.6,2.3,,2.1,,2.6,
Braxton Berrios,NYJ,,14.9,14.4,0.0,1.3,2.3,5.5,7.4,1.8,,
Teddy Bridgewater,CAR,17.36,10.68,14.6,27.24,20.82,11.44,19.16,13.04,28.3,20.04,
Daniel Brown,NYJ,,,,,,,,,,,
Harrison Bryant,CLE,1.0,1.9,6.8,5.7,0.0,1.6,19.6,2.0,,,
Marquez Callaway,NO,,,,2.1,5.4,,11.5,,2.1,,
Trenton Cannon,CAR,,,,,-0.1,3.7,0.7,,,,
Pharoh Cooper,CAR,,0.0,,,1.7,,,,,,
Nathan Cottrell,JAX,,,,,,,,,,,
C.J. Ham,MIN,,,,,,,,,,,
K.J. Hill,LAC,,,2.0,,1.3,,,,-2.0,,
Hayden Hurst,ATL,5.3,15.7,6.6,7.1,1.8,13.7,9.8,7.9,9.7,,0.0
D'Ernest Johnson,CLE,0.5,,,9.5,4.1,0.1,0.3,1.6,,,
Xavier Jones,LAR,,,,,,,,,,,
Chris Manhertz,CAR,0.9,1.3,,2.2,,1.1,,1.1,,,0.0
Johnny Mundt,LAR,,,,1.0,,,6.3,,,,
Gabe Nabers,LAC,,,,1.4,,,0.0,6.7,6.9,1.4,
David Njoku,CLE,12.5,,,,1.1,1.2,9.0,2.4,,,0.0
Dare Ogunbowale,JAX,,,,,,,,,,1.0,0.0
