,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
188,188,Demarcus Robinson,WR,KC,0,0,0,0,0,3,20,0,0,0,0,0.0,5.0,3.5
189,189,Darrel Williams,RB,KC,0,0,0,23,0,2,7,0,0,0,0,0.0,5.0,4.0
190,190,Latavius Murray,RB,NO,0,0,0,48,0,0,0,0,0,0,0,0.0,4.8,4.800000000000001
191,191,Kyle Rudolph,TE,MIN,0,0,0,0,0,2,28,0,0,0,0,0.0,4.8,3.8000000000000003
192,192,Isaiah McKenzie,WR,BUF,0,0,0,0,0,3,17,0,0,0,0,0.0,4.7,3.2
193,193,Breshad Perriman,WR,NYJ,0,0,0,0,0,3,17,0,0,0,0,0.0,4.7,3.2
194,194,Michael Thomas,WR,NO,0,0,0,0,0,3,17,0,0,0,0,0.0,4.7,3.2
195,195,Justin Jefferson,WR,MIN,0,0,0,0,0,2,26,0,0,0,0,0.0,4.6,3.6
196,196,Dawson Knox,TE,BUF,0,0,0,0,0,2,26,0,0,0,0,0.0,4.6,3.6
197,197,Phillip Lindsay,RB,DEN,0,0,0,24,0,1,11,0,0,0,0,0.0,4.5,4.0
198,198,Randall Cobb,WR,HOU,0,0,0,0,0,2,23,0,0,0,0,0.0,4.3,3.3000000000000003
199,199,J.J. Taylor,RB,NE,0,0,0,28,0,1,4,0,0,0,0,0.0,4.2,3.7
200,200,Dan Arnold,TE,ARI,0,0,0,0,0,2,21,0,0,0,0,0.0,4.1,3.1
201,201,Corey Clement,RB,PHI,0,0,0,19,0,2,2,0,0,0,0,0.0,4.1,3.1000000000000005
202,202,Dontrelle Inman,WR,WAS,0,0,0,0,0,2,21,0,0,0,0,0.0,4.1,3.1
203,203,Van Jefferson,WR,LA,0,0,0,0,0,1,31,0,0,0,0,0.0,4.1,3.6
204,204,Cordarrelle Patterson,WR,CHI,0,0,0,19,0,1,12,0,0,0,0,0.0,4.1,3.6000000000000005
205,205,Hunter Renfrow,WR,LV,0,0,0,0,0,2,21,0,0,0,0,0.0,4.1,3.1
206,206,Mo Alie-Cox,TE,IND,0,0,0,0,0,2,20,0,0,0,0,0.0,4.0,3.0
207,207,Brandin Cooks,WR,HOU,0,0,0,0,0,2,20,0,0,0,0,0.0,4.0,3.0
208,208,Brian Hill,RB,ATL,0,0,0,12,0,2,8,0,0,0,0,0.0,4.0,3.0
209,209,Darren Fells,TE,HOU,0,0,0,0,0,2,19,0,0,0,0,0.0,3.9,2.9000000000000004
210,210,Zach Pascal,WR,IND,0,0,0,0,0,2,18,0,0,0,0,0.0,3.8,2.8
211,211,C.J. Board,WR,NYG,0,0,0,0,0,2,17,0,0,0,0,0.0,3.7,2.7
212,212,James Conner,RB,PIT,0,0,0,9,0,2,8,0,0,0,0,0.0,3.7,2.7
213,213,John Ross,WR,CIN,0,0,0,0,0,2,17,0,0,0,0,0.0,3.7,2.7
214,214,Kaden Smith,TE,NYG,0,0,0,0,0,2,17,0,0,0,0,0.0,3.7,2.7
215,215,Mike Thomas,WR,CIN,0,0,0,0,0,2,17,0,0,0,0,0.0,3.7,2.7
216,216,Gabriel Davis,WR,BUF,0,0,0,0,0,2,16,0,0,0,0,0.0,3.6,2.6
217,217,Marvin Hall,WR,DET,0,0,0,0,0,1,26,0,0,0,0,0.0,3.6,3.1
218,218,Deonte Harris,WR,NO,0,0,0,9,0,1,17,0,0,0,0,0.0,3.6,3.1
219,219,Ito Smith,RB,ATL,0,0,0,4,0,3,2,0,0,0,0,0.0,3.6,2.1
220,220,Ian Thomas,TE,CAR,0,0,0,0,0,2,16,0,0,0,0,0.0,3.6,2.6
221,221,Austin Hooper,TE,CLE,0,0,0,0,0,2,15,0,0,0,0,0.0,3.5,2.5
222,222,Ryan Izzo,TE,NE,0,0,0,0,0,1,25,0,0,0,0,0.0,3.5,3.0
223,223,Tevin Coleman,RB,SF,0,0,0,18,0,1,6,0,0,0,0,0.0,3.4,2.9
224,224,Isaiah Ford,WR,MIA,0,0,0,0,0,2,13,0,0,0,0,0.0,3.3,2.3
225,225,Rex Burkhead,RB,NE,0,0,0,32,0,0,0,0,0,0,0,0.0,3.2,3.2
226,226,Jordan Reed,TE,SF,0,0,0,0,0,2,12,0,0,0,0,0.0,3.2,2.2
227,227,Rob Gronkowski,TE,TB,0,0,0,0,0,2,11,0,0,0,0,0.0,3.1,2.1
228,228,Michael Pittman,WR,IND,0,0,0,0,0,2,10,0,0,0,0,0.0,3.0,2.0
