,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
56,310,Calvin Ridley,ATL,WR,0.0,10/25/2020,Lions,L 22 - 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,69.0,13.8,27.0,1.0,0.0,0.0,0.0,0.0,15.4
58,274,Cam Newton,NE,QB,0.0,10/25/2020,49ers,L 6 - 33,9.0,15.0,98.0,6.5,0.0,3.0,1.0,8.0,39.7,5.0,19.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8200000000000003
59,341,Cam Sims,WAS,WR,0.0,10/25/2020,Cowboys,W 25 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,2.7
60,29,Cameron Brate,TB,TE,0.0,10/25/2020,@Raiders,W 45 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.3
61,146,Carlos Hyde,SEA,RB,0.0,10/26/2020,@Cardinals,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,68.0,4.5,24.0,1.0,3.0,8.0,2.7,8.0,0.0,0.0,0.0,0.0,0.0,15.100000000000001
62,399,Carson Wentz,PHI,QB,0.0,10/23/2020,Giants,W 22 - 21,25.0,43.0,359.0,8.3,2.0,1.0,3.0,13.0,91.1,7.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.759999999999998
65,236,CeeDee Lamb,DAL,WR,0.0,10/25/2020,@Football Team,L 3 - 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
67,174,Chad Henne,KC,QB,0.0,10/25/2020,@Broncos,W 43 - 16,2.0,2.0,13.0,6.5,0.0,0.0,1.0,3.0,93.8,4.0,-2.0,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32
69,65,Chase Claypool,PIT,WR,0.0,10/25/2020,@Titans,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.3
71,103,Chase Edmonds,ARI,RB,0.0,10/26/2020,Seahawks,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,11.6,32.0,0.0,7.0,87.0,12.4,21.0,0.0,0.0,0.0,0.0,0.0,18.0
72,69,Chris Carson,SEA,RB,0.0,10/26/2020,@Cardinals,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,6.8,10.0,0.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,4.6000000000000005
73,133,Chris Godwin,TB,WR,0.0,10/25/2020,@Raiders,W 45 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,88.0,9.8,23.0,1.0,0.0,0.0,0.0,0.0,19.3
78,221,Christian Kirk,ARI,WR,0.0,10/26/2020,Seahawks,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,7.4,16.0,2.0,0.0,0.0,0.0,0.0,18.2
79,100,Clyde Edwards-Helaire,KC,RB,0.0,10/25/2020,@Broncos,W 43 - 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,46.0,5.8,27.0,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,12.8
80,46,Cole Beasley,BUF,WR,0.0,10/25/2020,@Jets,W 18 - 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,112.0,10.2,23.0,0.0,0.0,0.0,0.0,0.0,16.700000000000003
81,219,Cole Kmet,CHI,TE,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,22.5,38.0,0.0,0.0,0.0,0.0,0.0,5.5
84,217,Cooper Kupp,LAR,WR,0.0,10/27/2020,Bears,W 24 - 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,16.0,0.0,6.0,43.0,7.2,13.0,0.0,0.0,0.0,0.0,0.0,8.899999999999999
85,295,Cordarrelle Patterson,CHI,WR,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.3,2.0,0.0,3.0,11.0,3.7,7.0,0.0,0.0,0.0,0.0,0.0,2.7
86,64,Corey Clement,PHI,RB,0.0,10/23/2020,Giants,W 22 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,7.0,0.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,2.6
87,88,Corey Davis,TEN,WR,0.0,10/25/2020,Steelers,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,5.8,7.0,1.0,0.0,0.0,0.0,0.0,12.5
