,Name,Team,Position,Salary
140,Phillip Dorsett II,SEA,WR,4500.0
139,Darius Jennings,LAC,WR,4500.0
126,Jaron Brown,ARI,WR,4500.0
123,Jamize Olawale,DAL,RB,4500.0
120,Brandon Bolden,NE,RB,4500.0
119,Josh Bellamy,NYJ,WR,4500.0
117,Alfred Morris,NYG,RB,4500.0
115,Travis Benjamin,SF,WR,4500.0
106,Nick Bellore,SEA,RB,4500.0
104,Patrick DiMarco,BUF,RB,4500.0
102,Bruce Miller,JAC,RB,4500.0
99,Dwayne Harris,HOU,WR,4500.0
96,Anthony Sherman,KC,RB,4500.0
95,Taiwan Jones,BUF,RB,4500.0
87,Pete Guerriero,CAR,RB,4500.0
85,Jeff Cotton,LAC,WR,4500.0
84,Rysen John,NYG,WR,4500.0
82,Sandro Platzgummer,NYG,RB,4500.0
79,Jordan Jones,GB,RB,4500.0
78,Luke Sellers,DET,RB,4500.0
77,Manasseh Bailey,PHI,WR,4500.0
76,Aaron Parker,DAL,WR,4500.0
75,Mikey Daniel,ATL,RB,4500.0
309,Trevor Davis,CHI,WR,4500.0
832,Keelan Doss,LV,WR,4500.0
474,Napoleon Maxwell,CHI,RB,4500.0
362,Robert Davis,LV,WR,4500.0
369,Josh Malone,NYJ,WR,4500.0
424,Jaylen Samuels,PIT,RB,4500.0
368,Jakob Johnson,NE,RB,4500.0
367,Jalen Hurd,SF,WR,4500.0
366,Kalen Ballage,LAC,RB,4500.0
425,David Njoku,CLE,TE,4500.0
427,Qadree Ollison,ATL,RB,4500.0
428,Cody Thompson,SEA,WR,4500.0
