,Name,max,min,mean,std,D Pass Yds/Game,D Pass Yds/Att,D Pass TDs/Game,D Rush Yds/Game,D Rush YPC,D Rush TDs/Game
4,Melvin Gordon,24.8,3.2,11.71,7.24,267.12,7.6,1.62,118.5,4.5,1.62
5,Phillip Lindsay,15.1,2.3,7.88,5.08,267.12,7.6,1.62,118.5,4.5,1.62
6,Royce Freeman,4.5,1.7,2.68,1.08,267.12,7.6,1.62,118.5,4.5,1.62
7,Kenyan Drake,28.4,3.5,11.66,8.3,239.0,7.6,1.56,125.89,4.6,1.44
8,Chase Edmonds,18.0,2.8,10.14,6.1,239.0,7.6,1.56,125.89,4.6,1.44
9,Mike Davis,25.4,6.1,13.32,7.16,235.0,7.1,1.67,77.89,3.3,0.78
10,Jonathan Taylor,18.0,4.1,11.42,4.31,275.0,7.0,2.38,119.12,4.5,0.88
11,Nyheim Hines,23.3,0.9,8.84,8.11,275.0,7.0,2.38,119.12,4.5,0.88
12,Jordan Wilkins,17.8,-0.1,5.03,6.01,275.0,7.0,2.38,119.12,4.5,0.88
13,James White,11.3,0.8,6.18,3.79,223.12,6.4,1.25,101.75,4.5,0.75
14,Damien Harris,16.2,3.8,8.92,4.63,223.12,6.4,1.25,101.75,4.5,0.75
15,Rex Burkhead,31.3,1.4,9.04,9.78,223.12,6.4,1.25,101.75,4.5,0.75
16,Kalen Ballage,15.4,2.1,6.98,6.15,252.5,7.4,1.38,131.75,4.9,1.25
17,Joshua Kelley,12.3,2.8,6.85,3.86,252.5,7.4,1.38,131.75,4.9,1.25
18,Gabe Nabers,6.9,0.0,3.75,3.57,252.5,7.4,1.38,131.75,4.9,1.25
19,Austin Ekeler,25.8,1.9,13.42,10.25,252.5,7.4,1.38,131.75,4.9,1.25
20,Justin Jackson,15.7,0.4,7.82,6.25,252.5,7.4,1.38,131.75,4.9,1.25
21,Josh Jacobs,33.9,4.6,14.35,9.34,240.88,7.0,1.75,119.5,4.3,0.75
22,Devontae Booker,12.8,1.0,5.47,3.95,240.88,7.0,1.75,119.5,4.3,0.75
23,Jalen Richard,8.6,2.0,3.66,2.22,240.88,7.0,1.75,119.5,4.3,0.75
24,Nick Chubb,25.8,4.3,14.68,11.56,256.25,7.8,2.25,159.5,5.1,1.38
25,Kareem Hunt,23.1,6.7,14.4,5.74,256.25,7.8,2.25,159.5,5.1,1.38
26,D'Ernest Johnson,9.5,0.1,2.68,3.65,256.25,7.8,2.25,159.5,5.1,1.38
27,Andy Janovich,1.8,0.0,0.68,0.78,256.25,7.8,2.25,159.5,5.1,1.38
28,James Robinson,27.9,7.5,15.19,6.85,234.38,8.0,1.62,111.0,4.5,1.38
29,Alvin Kamara,38.2,13.4,22.7,8.7,218.44,7.1,1.78,106.22,4.0,0.56
30,Latavius Murray,20.8,4.3,7.44,5.49,218.44,7.1,1.78,106.22,4.0,0.56
31,Michael Burton,1.8,0.1,0.82,0.82,218.44,7.1,1.78,106.22,4.0,0.56
32,Leonard Fournette,25.6,2.4,9.93,8.54,246.78,6.9,1.44,115.0,4.6,1.33
33,Ronald Jones,25.1,3.3,11.12,6.56,246.78,6.9,1.44,115.0,4.6,1.33
34,LeSean McCoy,4.6,0.7,2.2,1.71,246.78,6.9,1.44,115.0,4.6,1.33
35,Giovani Bernard,21.3,0.9,8.66,7.45,214.62,7.2,1.75,102.75,4.1,0.62
36,Joe Mixon,39.1,5.6,14.85,12.27,214.62,7.2,1.75,102.75,4.1,0.62
37,Cam Akers,6.1,1.3,4.53,2.22,362.12,8.1,2.0,93.62,3.7,1.38
38,Malcolm Brown,24.5,1.9,8.04,7.37,362.12,8.1,2.0,93.62,3.7,1.38
39,Darrell Henderson,20.3,0.6,10.85,7.5,362.12,8.1,2.0,93.62,3.7,1.38
40,Matt Breida,6.4,0.4,3.46,2.36,240.25,6.8,2.0,118.25,4.9,0.88
41,Myles Gaskin,17.6,7.7,11.93,3.39,240.25,6.8,2.0,118.25,4.9,0.88
42,Devonta Freeman,15.7,0.8,6.5,6.18,209.38,6.8,1.62,130.75,4.4,1.38
43,Wayne Gallman,14.2,1.9,7.57,5.72,209.38,6.8,1.62,130.75,4.4,1.38
44,Dion Lewis,13.6,0.1,3.53,4.43,209.38,6.8,1.62,130.75,4.4,1.38
45,JaMycal Hasty,9.6,2.3,5.14,3.36,231.38,7.2,2.38,80.25,3.5,0.62
46,Jerick McKinnon,19.2,-0.1,10.16,6.74,231.38,7.2,2.38,80.25,3.5,0.62
47,Raheem Mostert,23.1,8.6,15.7,6.18,231.38,7.2,2.38,80.25,3.5,0.62
48,Jeff Wilson,31.0,0.3,11.36,13.65,231.38,7.2,2.38,80.25,3.5,0.62
49,Zack Moss,20.1,1.0,9.25,6.7,244.0,7.1,1.75,126.12,4.6,0.62
50,Devin Singletary,16.2,3.8,8.42,4.3,244.0,7.1,1.75,126.12,4.6,0.62
