,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
126,Diontae Johnson,Pittsburgh Steelers,WR,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,2,,,,,9,80,8.9,14,,
172,Donovan Peoples-Jones,Cleveland Browns,WR,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,1,,,,,3,56,18.7,24,,
102,Dontrell Hilliard,Cleveland Browns,RB,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,
115,Dontrelle Inman,Washington Football Team,WR,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,
19,Drew Brees,New Orleans Saints,QB,,10/25/2020,Panthers,W 27 - 24,29,36,287,8,2,0,1,10,118.4,3,2,0.7,,1,,,,,1,1
215,Drew Sample,Cincinnati Bengals,TE,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,0,,,,,5,52,10.4,16,,
127,Duke Johnson,Houston Texans,RB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,1,-1,-1,-1,0,5,43,8.6,,,0
237,Duke Williams,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,
112,Dwayne Haskins,Washington Football Team,QB,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,
246,Dwayne Washington,New Orleans Saints,RB,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,,,,,,,,,,,
173,Elijhaa Penny,New York Giants,RB,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,
190,Equanimeous St. Brown,Green Bay Packers,WR,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,,,,,,,,,,,
69,Eric Ebron,Pittsburgh Steelers,TE,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,0,,,,,6,50,8.3,22,,
219,Eric Tomlinson,New York Giants,TE,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,
66,Evan Engram,New York Giants,TE,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,0,2,3,1.5,7,6,46,7.7,17,0,
67,Ezekiel Elliott,Dallas Cowboys,RB,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,12,45,3.8,12,0,1,6,6,,,0
84,Frank Gore,New York Jets,RB,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,11,60,5.5,13,0,,,,,,
59,Gabriel Davis,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,0,,,,,1,11,11,11,,
88,Garrett Gilbert,Dallas Cowboys,QB,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,
185,Geoff Swaim,Tennessee Titans,TE,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,0,,,,,0,0,,,,
27,Giovani Bernard,Cincinnati Bengals,RB,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,13,37,2.8,8,0,5,59,11.8,,,1
228,Golden Tate,New York Giants,WR,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,1,,,,,1,39,39,39,,
247,Greg Ward,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,1,,,,,5,42,8.4,14,,
8,Hakeem Butler,Philadelphia Eagles,TE,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,0,,,,,0,0,,,,
11,Harrison Bryant,Cleveland Browns,TE,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,2,,,,,4,56,14,35,,
95,Hayden Hurst,Atlanta Falcons,TE,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,0,,,,,6,68,11.3,17,,
225,Ian Thomas,Carolina Panthers,TE,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,0,,,,,1,11,11,11,,
162,Isaac Nauta,Detroit Lions,TE,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,0,,,,,1,3,3,3,,
152,Isaiah McKenzie,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,0,1,-11,-11,-11,2,14,7,8,0,
232,Isaiah Wright,Washington Football Team,WR,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,
199,Ito Smith,Atlanta Falcons,RB,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,0,0,,,,0
150,J.D. McKissic,Washington Football Team,RB,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,5,35,7,12,0,2,16,8,,,0
0,J.J. Arcega-Whiteside,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,0,,,,,1,8,8,8,,
189,Jace Sternberger,Green Bay Packers,TE,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,1,,,,,1,3,3,3,,
83,Jaeden Graham,Atlanta Falcons,TE,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,,,,,,
72,Jake Fromm,Buffalo Bills,QB,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,
94,Jalen Hurts,Philadelphia Eagles,QB,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,2,2,1,,0,,,,,,
236,Jamaal Williams,Green Bay Packers,RB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,19,77,4.1,13,1,4,37,9.3,,,0
6,Jamal Agnew,Detroit Lions,WR,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,0,,,,,0,0,,,,
234,Jameis Winston,New Orleans Saints,QB,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,,,,,,,,,,,
42,James Conner,Pittsburgh Steelers,RB,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,20,82,4.1,24,0,3,29,9.7,,,0
143,James Morgan,New York Jets,QB,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,
245,James Washington,Pittsburgh Steelers,WR,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,0,,,,,0,0,,,,
35,Jamison Crowder,New York Jets,WR,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,
41,Jared Cook,New Orleans Saints,TE,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,1,,,,,3,32,10.7,22,,
139,Jarvis Landry,Cleveland Browns,WR,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,0,2,4,2,5,5,48,9.6,28,0,
36,Jason Croom,Philadelphia Eagles,TE,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,,,,,,,,,,,
96,Jason Huntley,Philadelphia Eagles,RB,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,2,13,6.5,10,0,0,0,,,,0
213,Jaylen Samuels,Pittsburgh Steelers,RB,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,1,5,5,5,0,,,,,,
33,Jeff Badet,Washington Football Team,WR,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,
198,Jeff Smith,New York Jets,WR,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,0,,,,,0,0,,,,
148,Jeremy McNichols,Tennessee Titans,RB,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,1,2,2,2,0,,,,,,
192,Jeremy Sprinkle,Washington Football Team,TE,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,0,,,,,1,6,6,6,,
130,Jesse James,Detroit Lions,TE,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,,,,,,,,,,,
10,Joe Burrow,Cincinnati Bengals,QB,,10/25/2020,Browns,L 34 - 37,35,47,406,8.6,3,1,4,35,112.5,6,34,5.7,,1,,,,,3,1
75,Joe Flacco,New York Jets,QB,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,
145,Joe Mixon,Cincinnati Bengals,RB,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,
15,John Brown,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,
106,John Hightower,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,0,,,,,1,59,59,59,,
