,Name,Team,Position,Salary
147,Josh Gordon,SEA,WR,5000.0
421,Kalen Ballage,LAC,RB,5000.0
795,Harrison Bryant,CLE,TE,5000.0
450,Richie James,SF,WR,5000.0
244,Chris Conley,JAX,WR,5000.0
852,Alexander Mattison,MIN,RB,5000.0
466,Cam Sims,WSH,WR,5000.0
430,Braxton Berrios,NYJ,WR,5000.0
952,AJ Dillon,GB,RB,5000.0
774,Collin Johnson,JAX,WR,5000.0
802,Lil'Jordan Humphrey,NO,WR,5000.0
547,Travis Fulgham,PHI,WR,5000.0
889,Dan Arnold,ARI,TE,5000.0
157,Devonta Freeman,NYG,RB,5000.0
318,Devontae Booker,LV,RB,5000.0
26,Dez Bryant,BAL,WR,5000.0
432,Rodney Smith,CAR,RB,4900.0
160,Mack Hollins,MIA,WR,4900.0
372,Anthony Miller,CHI,WR,4900.0
132,Mohamed Sanu,DET,WR,4900.0
879,David Moore,SEA,WR,4900.0
376,Durham Smythe,MIA,TE,4900.0
152,Adam Humphries,TEN,WR,4900.0
738,LeSean McCoy,TB,RB,4900.0
427,Samaje Perine,CIN,RB,4900.0
238,Marvin Hall,CLE,WR,4900.0
789,Darrynton Evans,TEN,RB,4900.0
39,CLE,CLE,DST,4900.0
947,Joshua Kelley,LAC,RB,4900.0
944,Donovan Peoples-Jones,CLE,WR,4900.0
803,Devin Duvernay,BAL,WR,4900.0
535,KeeSean Johnson,ARI,WR,4800.0
458,Jacob Hollister,SEA,TE,4800.0
807,Marquez Callaway,NO,WR,4800.0
489,Qadree Ollison,ATL,RB,4800.0
605,MyCole Pruitt,TEN,TE,4800.0
383,Boston Scott,PHI,RB,4800.0
201,Austin Carr,NO,WR,4800.0
326,Steven Mitchell,HOU,WR,4800.0
281,Jakeem Grant,MIA,WR,4800.0
536,Gerald Everett,LAR,TE,4800.0
111,Randall Cobb,HOU,WR,4800.0
472,Cameron Brate,TB,TE,4800.0
548,Rashaad Penny,SEA,RB,4800.0
36,BUF,BUF,DST,4800.0
56,ARI,ARI,DST,4800.0
623,Ke'Shawn Vaughn,TB,RB,4800.0
506,Royce Freeman,DEN,RB,4800.0
368,Jordan Wilkins,IND,RB,4800.0
835,Quintez Cephus,DET,WR,4800.0
583,Scotty Miller,TB,WR,4800.0
452,Isaiah McKenzie,BUF,WR,4800.0
691,Van Jefferson,LAR,WR,4800.0
62,WSH,WSH,DST,4800.0
659,Kerryon Johnson,DET,RB,4800.0
878,Alex Armah,CAR,RB,4700.0
325,Jack Doyle,IND,TE,4700.0
24,Gunner Olszewski,NE,WR,4700.0
139,Alfred Morris,NYG,RB,4700.0
700,Ryquell Armstead,JAX,RB,4700.0
632,Antonio Callaway,MIA,WR,4700.0
759,Bryan Edwards,LV,WR,4700.0
37,CHI,CHI,DST,4700.0
482,Justin Jackson,LAC,RB,4700.0
196,Bennie Fowler,NO,WR,4700.0
348,Pharoh Cooper,CAR,WR,4700.0
504,Patrick Laird,MIA,RB,4700.0
49,MIA,MIA,DST,4700.0
839,Rico Dowdle,DAL,RB,4700.0
365,Laquon Treadwell,ATL,WR,4700.0
344,Alex Collins,SEA,RB,4700.0
522,Isaiah Ford,MIA,WR,4700.0
616,Preston Williams,MIA,WR,4700.0
524,Jeremy McNichols,TEN,RB,4700.0
725,JaMycal Hasty,SF,RB,4700.0
822,Justice Hill,BAL,RB,4700.0
844,Ian Thomas,CAR,TE,4700.0
528,Drew Sample,CIN,TE,4700.0
14,Deonte Harris,NO,WR,4600.0
955,DeeJay Dallas,SEA,RB,4600.0
876,Jamal Agnew,DET,WR,4600.0
872,Adam Shaheen,MIA,TE,4600.0
599,Ray-Ray McCloud,PIT,WR,4600.0
115,Dion Lewis,NYG,RB,4600.0
510,Trent Sherfield,ARI,WR,4600.0
618,Steven Sims,WSH,WR,4600.0
628,KJ Hill,LAC,WR,4600.0
551,Mike Boone,MIN,RB,4600.0
636,Andy Isabella,ARI,WR,4600.0
544,D'Ernest Johnson,CLE,RB,4600.0
533,Ryan Nall,CHI,RB,4600.0
898,Trenton Cannon,CAR,RB,4600.0
908,KhaDarel Hodge,CLE,WR,4600.0
488,Chris Herndon,NYJ,TE,4600.0
66,HOU,HOU,DST,4600.0
523,Christian Blake,ATL,WR,4600.0
492,Buddy Howell,HOU,RB,4600.0
517,Noah Brown,DAL,WR,4600.0
918,John Hightower,PHI,WR,4600.0
52,NO,NO,DST,4600.0
775,Trayveon Williams,CIN,RB,4600.0
300,Darren Fells,HOU,TE,4600.0
291,Jalen Richard,LV,RB,4600.0
840,JJ Taylor,NE,RB,4600.0
769,Cedrick Wilson,DAL,WR,4600.0
813,Javon Wims,CHI,WR,4600.0
289,CJ Prosise,HOU,RB,4600.0
217,Maurice Harris,NO,WR,4600.0
290,Tyler Eifert,JAX,TE,4600.0
156,Chris Thompson,JAX,RB,4600.0
706,Equanimeous St Brown,GB,WR,4600.0
174,Tavon Austin,GB,WR,4600.0
382,Trent Taylor,SF,WR,4600.0
848,Troymaine Pope,LAC,RB,4600.0
384,Tommylee Lewis,NO,WR,4600.0
387,Tyler Ervin,GB,RB,4600.0
385,Chad Beebe,MIN,WR,4600.0
280,DeAndre Washington,MIA,RB,4600.0
363,DaeSean Hamilton,DEN,WR,4600.0
354,Zay Jones,LV,WR,4600.0
698,Josh Adams,NYJ,RB,4600.0
343,Corey Clement,PHI,RB,4600.0
820,Travis Homer,SEA,RB,4600.0
701,Juwan Johnson,NO,WR,4600.0
745,Tyler Johnson,TB,WR,4600.0
276,Marcus Johnson,IND,WR,4600.0
808,Kalija Lipscomb,GB,WR,4500.0
812,Brian Herrien,CLE,RB,4500.0
811,Elijah Holyfield,PHI,RB,4500.0
756,Dillon Mitchell,MIN,WR,4500.0
640,John Kelly,CLE,RB,4500.0
747,Jaleel Scott,NYJ,WR,4500.0
635,Tae Crowder,NYG,RB,4500.0
806,Devwah Whaley,CIN,RB,4500.0
934,DeMichael Harris,IND,WR,4500.0
931,Scottie Phillips,HOU,RB,4500.0
637,Penny Hart,SEA,WR,4500.0
644,Isaiah Zuber,NE,WR,4500.0
645,Dalton Schoen,LAC,WR,4500.0
749,Devin Gray,ATL,WR,4500.0
823,Tino Ellis,MIA,WR,4500.0
821,Maurice Ffrench,KC,WR,4500.0
814,Tyler Simmons,HOU,WR,4500.0
639,Quadree Henderson,PIT,WR,4500.0
752,Jonathan Ward,ARI,RB,4500.0
634,Terry Godwin,JAX,WR,4500.0
816,Tyrie Cleveland,DEN,WR,4500.0
818,Kendrick Rogers,DAL,WR,4500.0
642,Kemah Siverand,LV,WR,4500.0
819,Quartney Davis,MIN,WR,4500.0
804,Kelvin Harmon,WSH,WR,4500.0
693,DaMarkus Lodge,CIN,WR,4500.0
760,Byron Pringle,KC,WR,4500.0
779,Tavien Feaster,DET,RB,4500.0
770,Stephen Sullivan,SEA,WR,4500.0
610,DeAndre Carter,CHI,WR,4500.0
953,Terry Wright,MIA,WR,4500.0
954,Easop Winston,LAR,WR,4500.0
608,Tyrell Williams,LV,WR,4500.0
788,Chester Rogers,TEN,WR,4500.0
783,Jason Huntley,PHI,RB,4500.0
956,Jeff Thomas,NE,WR,4500.0
762,Josh Hammond,JAX,WR,4500.0
957,Antonio Gandy-Golden,WSH,WR,4500.0
958,Darwin Thompson,KC,RB,4500.0
777,Sewo Olonilua,DAL,RB,4500.0
598,Deon Cain,PIT,WR,4500.0
597,Anthony Jones,SEA,RB,4500.0
963,Sirgeo Hoffman,ARI,RB,4500.0
964,Jermiah Braswell,ARI,WR,4500.0
613,Malik Henry,NO,WR,4500.0
614,Omar Bayless,CAR,WR,4500.0
790,Kalif Raymond,TEN,WR,4500.0
794,CJ Ham,MIN,RB,4500.0
633,Jordan Scarlett,DET,RB,4500.0
763,Riley Ridley,CHI,WR,4500.0
800,Damarea Crockett,DEN,RB,4500.0
930,Javon Leake,WSH,RB,4500.0
630,Mike Weber,GB,RB,4500.0
766,Dezmon Patmon,IND,WR,4500.0
943,Stephen Guidry,DAL,WR,4500.0
626,Xavier Jones,LAR,RB,4500.0
625,James Proche,BAL,WR,4500.0
798,Ryan Becker,ARI,WR,4500.0
768,Greg Dortch,LAR,WR,4500.0
622,Gary Jennings,BAL,WR,4500.0
949,Damion Willis,JAX,WR,4500.0
950,Cody White,PIT,WR,4500.0
951,Isaiah Hodgins,BUF,WR,4500.0
647,Kirk Merritt,MIA,WR,4500.0
827,Aaron Fuller,SEA,WR,4500.0
826,Seth Dawkins,SEA,WR,4500.0
709,Bryce Love,WSH,RB,4500.0
711,Trenton Irwin,CIN,WR,4500.0
884,CJ Board,NYG,WR,4500.0
849,Adrian Killins,PHI,RB,4500.0
682,Michael Walker,JAX,WR,4500.0
680,Jeff Smith,NYJ,WR,4500.0
712,JJ Arcega-Whiteside,PHI,WR,4500.0
713,Michael Jacquet,PHI,WR,4500.0
886,Anthony Firkser,TEN,TE,4500.0
679,Auden Tate,CIN,WR,4500.0
678,Tony Brown,WSH,WR,4500.0
