,Unnamed: 0,Name,Team,Position,Salary
447,611,Bryce Love,WSH,RB,4500.0
448,609,Equanimeous St. Brown,GB,WR,4500.0
449,608,Dexter Williams,GB,RB,4500.0
450,607,Chris Finke,SF,WR,4500.0
451,605,Brandon Polk,LAR,WR,4500.0
452,604,Ryquell Armstead,JAC,RB,4500.0
453,601,Darrell Stewart Jr.,CAR,WR,4500.0
454,700,Elijah Holyfield,PHI,RB,4500.0
455,599,Scotty Washington,CIN,WR,4500.0
456,597,DaMarkus Lodge,CIN,WR,4500.0
457,590,Dan Chisena,MIN,WR,4500.0
458,589,Saquon Barkley,NYG,RB,4500.0
459,588,Nick Westbrook-Ikhine,TEN,WR,4500.0
460,587,Michael Walker,JAC,WR,4500.0
461,583,Tony Brown,WSH,WR,4500.0
462,582,Keke Coutee,HOU,WR,4500.0
463,581,Jordan Glasgow,IND,RB,4500.0
464,579,Karan Higdon,HOU,RB,4500.0
465,578,Hakeem Butler,PHI,WR,4500.0
466,618,Francis Bernard,DAL,RB,4500.0
467,629,Ted Ginn Jr.,CHI,WR,4500.0
468,641,Austin Mack,NYG,WR,4500.0
469,642,Antonio Williams,BUF,RB,4500.0
470,697,Kalija Lipscomb,KC,WR,4500.0
471,696,Devwah Whaley,CIN,RB,4500.0
472,694,Kelvin Harmon,WSH,WR,4500.0
473,691,Damarea Crockett,GB,RB,4500.0
474,690,Albert Okwuegbunam,DEN,TE,4500.0
475,689,Ryan Becker,ARI,WR,4500.0
476,685,C.J. Ham,MIN,RB,4500.0
477,683,Reggie Gilliam,BUF,RB,4500.0
478,680,Chester Rogers,TEN,WR,4500.0
479,675,Jason Huntley,PHI,RB,4500.0
480,671,Tavien Feaster,DET,RB,4500.0
481,669,Sewo Olonilua,DAL,RB,4500.0
482,668,Darius Anderson,IND,RB,4500.0
483,667,Trayveon Williams,CIN,RB,4500.0
484,662,Greg Dortch,LAR,WR,4500.0
485,660,Dezmon Patmon,IND,WR,4500.0
486,657,Riley Ridley,CHI,WR,4500.0
487,656,Josh Hammond,JAC,WR,4500.0
488,654,Michael Pittman Jr.,IND,WR,4500.0
489,494,Chase Harrell,SF,WR,4500.0
490,650,Jonathan Ward,ARI,RB,4500.0
491,647,Devin Gray,ATL,WR,4500.0
492,645,Jaleel Scott,NYJ,WR,4500.0
493,653,Dillon Mitchell,MIN,WR,4500.0
494,416,Jaylen Samuels,PIT,RB,4500.0
495,230,Marcus Johnson,IND,WR,4500.0
496,178,Derek Watt,PIT,RB,4500.0
497,225,Corey Coleman,NYG,WR,4500.0
498,223,Fred Brown,DEN,WR,4500.0
499,222,Donte Moncrief,NYJ,WR,4500.0
500,221,Cody Core,NYG,WR,4500.0
501,217,Jonathan Williams,WSH,RB,4500.0
502,214,T.J. Yeldon,BUF,RB,4500.0
503,212,DeAndrew White,BAL,WR,4500.0
504,202,Jordan Reed,SF,TE,4500.0
505,191,Marqise Lee,NE,WR,4500.0
506,185,Kenjon Barner,TB,RB,4500.0
507,184,De'Anthony Thomas,BAL,WR,4500.0
508,182,D.J. Foster,ARI,RB,4500.0
509,177,Dare Ogunbowale,JAC,RB,4500.0
510,492,Ty'Son Williams,BAL,RB,4500.0
511,172,Rod Smith,NYG,RB,4500.0
512,171,Devin Smith,HOU,WR,4500.0
513,169,Dan Vitale,NE,RB,4500.0
514,165,Devin Funchess,GB,WR,4500.0
515,164,Jehu Chesson,NYJ,WR,4500.0
