,Unnamed: 0,Unnamed: 0.1,Name,Team,Position,Salary
338,338,365,Brandon Powell,ATL,WR,4600.0
339,339,451,Noah Brown,DAL,WR,4600.0
340,340,574,Lawrence Cager,NYJ,WR,4600.0
341,341,221,Chris Conley,JAC,WR,4600.0
342,342,727,JJ Taylor,NE,RB,4600.0
343,343,641,LeSean McCoy,TB,RB,4600.0
344,344,775,Justin Watson,TB,WR,4600.0
345,345,721,Joe Reed,LAC,WR,4600.0
346,346,645,Austin Mack,NYG,WR,4600.0
347,347,41,Kansas City Chiefs,KC,DST,4600.0
348,348,249,Jakeem Grant,MIA,WR,4600.0
349,349,662,Freddie Swain,SEA,WR,4600.0
350,350,109,Dontrelle Inman,WSH,WR,4600.0
351,351,103,Dion Lewis,NYG,RB,4600.0
352,352,424,Reggie Bonnafon,CAR,RB,4600.0
353,353,660,Bryan Edwards,LV,WR,4600.0
354,354,541,Steven Sims,WSH,WR,4600.0
355,355,829,Antonio Gandy-Golden,WSH,WR,4600.0
356,356,683,Darrynton Evans,TEN,RB,4600.0
357,357,480,Mike Boone,MIN,RB,4600.0
358,358,317,DaeSean Hamilton,DEN,WR,4600.0
359,359,310,Zay Jones,LV,WR,4600.0
360,360,550,KJ Hill,LAC,WR,4500.0
361,361,806,JoJo Ward,ARI,WR,4500.0
362,362,533,DeAndre Carter,HOU,WR,4500.0
363,363,709,Quartney Davis,MIN,WR,4500.0
364,364,552,Mike Weber,KC,RB,4500.0
365,365,802,Noah Igbinoghene,MIA,WR,4500.0
366,366,808,Scottie Phillips,HOU,RB,4500.0
367,367,810,De'Michael Harris,IND,WR,4500.0
368,368,548,James Proche,BAL,WR,4500.0
369,369,807,Javon Leake,NYG,RB,4500.0
370,370,536,Malik Henry,NO,WR,4500.0
371,371,537,Omar Bayless,CAR,WR,4500.0
372,372,713,Tino Ellis,MIA,WR,4500.0
373,373,663,Josh Hammond,JAC,WR,4500.0
374,374,664,Riley Ridley,CHI,WR,4500.0
375,375,545,Gary Jennings,MIA,WR,4500.0
376,376,544,Ty Johnson,NYJ,RB,4500.0
377,377,711,Maurice Ffrench,KC,WR,4500.0
378,378,712,Justice Hill,BAL,RB,4500.0
379,379,667,Dezmon Patmon,IND,WR,4500.0
380,380,669,Stephen Sullivan,SEA,WR,4500.0
381,381,614,Chris Finke,SF,WR,4500.0
382,382,708,Kendrick Rogers,DAL,WR,4500.0
383,383,830,Darwin Thompson,KC,RB,4500.0
384,384,682,Chester Rogers,TEN,WR,4500.0
385,385,826,Terry Wright,MIA,WR,4500.0
386,386,828,Jeff Thomas,NE,WR,4500.0
387,387,506,Jaylinn Hawkins,ATL,WR,4500.0
388,388,688,CJ Ham,MIN,RB,4500.0
389,389,695,Lil'Jordan Humphrey,NO,WR,4500.0
390,390,500,Chase Harrell,SF,WR,4500.0
391,391,510,David Sills,NYG,WR,4500.0
392,392,498,Anthony Ratliff-Williams,LV,WR,4500.0
393,393,497,Ty'Son Williams,BAL,RB,4500.0
394,394,496,TreVontae Hights,CAR,WR,4500.0
395,395,691,Ryan Becker,ARI,WR,4500.0
396,396,834,Sirgeo Hoffman,ARI,RB,4500.0
397,397,835,Jermiah Braswell,ARI,WR,4500.0
398,398,697,Kelvin Harmon,WSH,WR,4500.0
399,399,511,Chandler Cox,MIA,RB,4500.0
400,400,530,Tyrell Williams,LV,WR,4500.0
401,401,823,Cody White,PIT,WR,4500.0
402,402,706,Tyrie Cleveland,DEN,WR,4500.0
403,403,521,Deon Cain,PIT,WR,4500.0
404,404,520,Anthony Jones,SEA,RB,4500.0
405,405,553,Jordan Scarlett,CAR,RB,4500.0
406,406,704,Tyler Simmons,HOU,WR,4500.0
407,407,818,Stephen Guidry,DAL,WR,4500.0
408,408,674,Darius Anderson,IND,RB,4500.0
409,409,677,Tavien Feaster,DET,RB,4500.0
410,410,824,Isaiah Hodgins,BUF,WR,4500.0
411,411,514,Olabisi Johnson,MIN,WR,4500.0
412,412,513,George Campbell,NYJ,WR,4500.0
413,413,675,Sewo Olonilua,DAL,RB,4500.0
414,414,512,Jauan Jennings,SF,WR,4500.0
415,415,700,Kalija Lipscomb,GB,WR,4500.0
416,416,800,Ahmad Wagner,CHI,WR,4500.0
417,417,557,Penny Hart,SEA,WR,4500.0
418,418,799,Lynn Bowden,MIA,WR,4500.0
419,419,622,Francis Bernard,DAL,RB,4500.0
420,420,596,Michael Walker,JAC,WR,4500.0
421,421,625,Sutton Smith,SEA,RB,4500.0
422,422,748,Rashad Medaris,ARI,WR,4500.0
423,423,593,Tony Brown,WSH,WR,4500.0
424,424,628,John Ursua,SEA,WR,4500.0
425,425,592,Keke Coutee,HOU,WR,4500.0
426,426,591,Jordan Glasgow,IND,RB,4500.0
427,427,752,Matthew Slater,NE,WR,4500.0
428,428,589,Karan Higdon,HOU,RB,4500.0
429,429,757,Chad Williams,KC,WR,4500.0
430,430,758,Tarik Cohen,CHI,RB,4500.0
431,431,760,Alex Armah,CAR,RB,4500.0
432,432,586,Patrick Carr,SEA,RB,4500.0
433,433,585,Emanuel Hall,WSH,WR,4500.0
434,434,584,Johnathon Johnson,WSH,WR,4500.0
435,435,693,Damarea Crockett,DEN,RB,4500.0
436,436,597,Nick Westbrook-Ikhine,TEN,WR,4500.0
437,437,554,Terry Godwin,JAC,WR,4500.0
438,438,598,Saquon Barkley,NYG,RB,4500.0
439,439,740,Aleva Hifo,KC,WR,4500.0
440,440,612,Juwan Johnson,NO,WR,4500.0
441,441,739,Anthony Johnson,PIT,WR,4500.0
442,442,615,Dexter Williams,GB,RB,4500.0
443,443,611,Ryquell Armstead,JAC,RB,4500.0
444,444,609,Josh Adams,NYJ,RB,4500.0
445,445,616,Equanimeous St Brown,GB,WR,4500.0
446,446,608,Darrell Stewart,CAR,WR,4500.0
447,447,744,Tony Jones,NO,RB,4500.0
448,448,605,Dawson Knox,BUF,TE,4500.0
449,449,745,Binjimen Victor,NYG,WR,4500.0
450,450,619,Bryce Love,WSH,RB,4500.0
451,451,620,Cameron Scarlett,TEN,RB,4500.0
452,452,621,LeVante Bellamy,DEN,RB,4500.0
453,453,599,Dan Chisena,MIN,WR,4500.0
454,454,734,Troymaine Pope,LAC,RB,4500.0
455,455,733,Isaiah Wright,WSH,WR,4500.0
456,456,580,KJ Osborn,MIN,WR,4500.0
457,457,766,CJ Board,NYG,WR,4500.0
458,458,651,Devin Gray,ATL,WR,4500.0
459,459,791,Nick Easley,BUF,WR,4500.0
460,460,563,Isaiah Zuber,NE,WR,4500.0
461,461,792,Dominique Dafney,GB,WR,4500.0
462,462,561,Kemah Siverand,LV,WR,4500.0
463,463,654,Jonathan Ward,ARI,RB,4500.0
464,464,718,Sean Riley,NE,WR,4500.0
465,465,559,Quadree Henderson,PIT,WR,4500.0
466,466,794,Michael Warren,CAR,RB,4500.0
467,467,717,Aaron Fuller,SEA,WR,4500.0
468,468,657,Dillon Mitchell,MIN,WR,4500.0
469,469,798,Salvon Ahmed,MIA,RB,4500.0
470,470,716,Seth Dawkins,SEA,WR,4500.0
471,471,493,Dede Westbrook,JAC,WR,4500.0
472,472,555,Tae Crowder,NYG,RB,4500.0
473,473,564,Dalton Schoen,LAC,WR,4500.0
474,474,649,Jaleel Scott,NYJ,WR,4500.0
475,475,788,Eno Benjamin,ARI,RB,4500.0
476,476,570,Jared Pinkney,ATL,WR,4500.0
477,477,634,Ted Ginn,CHI,WR,4500.0
478,478,731,Patrick Taylor,GB,RB,4500.0
479,479,728,Gabe Nabers,LAC,RB,4500.0
480,480,575,Alec Ingold,LV,RB,4500.0
481,481,769,Patrick Ricard,BAL,RB,4500.0
482,482,726,Rico Dowdle,DAL,RB,4500.0
483,483,773,Brandon Zylstra,CAR,WR,4500.0
484,484,566,Kirk Merritt,MIA,WR,4500.0
485,485,725,Antoine Wesley,BAL,WR,4500.0
486,486,567,Aca'Cedric Ware,TB,RB,4500.0
487,487,646,Antonio Williams,BUF,RB,4500.0
488,488,724,Malcolm Perry,MIA,RB,4500.0
489,489,781,De'Lance Turner,MIA,RB,4500.0
490,490,784,Vyncint Smith,NYJ,WR,4500.0
491,491,0,Christian Wade,BUF,RB,4500.0
492,492,836,Keelan Doss,LV,WR,4500.0
