,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total
36,Dan Arnold,TE,ARI,-,-,-,-,-,2,61,2,-,-,-,,20.10
37,Sam Darnold,QB,NYJ,186,2,1,26,1,-,-,-,-,-,1,,20.04
38,Chris Carson,RB,SEA,-,-,-,65,-,3,45,1,-,-,-,,20.00
39,Ty Johnson,RB,NYJ,-,-,-,104,1,2,13,-,-,-,-,,19.70
40,Michael Thomas,WR,NO,-,-,-,-,-,9,105,-,-,-,-,,19.50
41,Deshaun Watson,QB,HOU,341,-,1,38,1,-,-,-,-,-,-,,19.44
42,Patrick Mahomes,QB,KC,318,1,-,26,-,-,-,-,-,-,-,,19.32
43,Stefon Diggs,WR,BUF,-,-,-,-,-,10,92,-,-,-,-,,19.20
44,DeAndre Hopkins,WR,ARI,-,-,-,-,-,8,52,1,-,-,-,,19.20
45,Philip Rivers,QB,IND,285,2,-,-2,-,-,-,-,-,-,-,,19.20
46,Robert Woods,WR,LAR,-,-,-,-,-,10,85,-,-,-,-,,18.50
47,Ben Roethlisberger,QB,PIT,305,2,1,-,-,-,-,-,-,-,-,,18.20
48,JD McKissic,RB,WSH,-,-,-,8,-,10,70,-,-,-,-,,17.80
49,Alvin Kamara,RB,NO,-,-,-,88,1,2,9,-,-,-,-,,17.70
50,Adrian Peterson,RB,DET,-,-,-,57,2,-,-,-,-,-,-,,17.70
51,Nick Chubb,RB,CLE,-,-,-,80,1,1,26,-,-,-,-,,17.60
52,Andy Dalton,QB,DAL,285,2,1,2,-,-,-,-,-,-,-,,17.60
53,Alfred Morris,RB,NYG,-,-,-,39,1,1,6,1,-,-,-,,17.50
54,Donovan Peoples-Jones,WR,CLE,-,-,-,-,-,2,92,1,-,-,-,,17.20
55,Gunner Olszewski,WR,NE,-,-,-,-,-,1,38,1,1,-,-,,16.80
56,Kyler Murray,QB,ARI,173,3,1,15,-,-,-,-,-,-,-,,16.42
57,Cam Akers,RB,LAR,-,-,-,72,1,1,22,-,-,-,-,,16.40
58,Amari Cooper,WR,DAL,-,-,-,10,-,5,43,1,-,-,-,,16.30
59,Tua Tagovailoa,QB,MIA,296,1,-,3,-,-,-,-,-,-,-,,16.14
60,James Washington,WR,PIT,-,-,-,-,-,2,80,1,-,-,-,,16.00
61,Alex Smith,QB,WSH,296,1,-,-,-,-,-,-,-,-,-,,15.84
62,Gabriel Davis,WR,BUF,-,-,-,-,-,3,68,1,-,-,-,,15.80
63,Calvin Ridley,WR,ATL,-,-,-,-,-,5,108,-,-,-,-,,15.80
64,Laviska Shenault,WR,JAX,-,-,-,30,-,3,38,1,-,-,-,,15.80
65,Darrell Henderson,RB,LAR,-,-,-,49,1,2,25,-,-,-,-,,15.40
66,TJ Hockenson,TE,DET,-,-,-,-,-,7,84,-,-,-,-,,15.40
67,Julio Jones,WR,ATL,-,-,-,-,-,6,94,-,-,-,-,,15.40
68,Henry Ruggs,WR,LV,-,-,-,-,-,3,84,1,-,-,-,,15.40
69,Cooper Kupp,WR,LAR,-,-,-,-,-,8,73,-,-,-,-,,15.30
70,Melvin Gordon,RB,DEN,-,-,-,131,-,1,11,-,-,-,-,,15.20
71,MyCole Pruitt,TE,TEN,-,-,-,-,-,1,22,1,-,1,-,,15.20
72,Russell Gage,WR,ATL,-,-,-,-,-,4,51,1,-,-,-,,15.10
73,Chad Hansen,WR,,-,-,-,-,-,5,101,-,-,-,-,,15.10
74,Russell Wilson,QB,SEA,263,1,1,45,-,-,-,-,-,-,-,,15.02
75,Marquise Brown,WR,BAL,-,-,-,-,-,5,39,1,-,-,-,,14.90
76,Tyreek Hill,WR,KC,-,-,-,30,-,6,58,-,-,-,-,,14.80
77,Cole Kmet,TE,CHI,-,-,-,-,-,5,37,1,-,-,-,,14.70
78,Greg Ward,WR,PHI,-,-,-,-,-,3,57,1,-,-,-,,14.70
79,Quintez Cephus,WR,DET,-,-,-,-,-,2,63,1,-,-,-,,14.30
80,Tyler Boyd,WR,CIN,-,-,-,-,-,1,72,1,-,-,-,,14.20
81,Cam Sims,WR,WSH,-,-,-,-,-,5,92,-,-,-,-,,14.20
82,Myles Gaskin,RB,MIA,-,-,-,90,-,2,51,-,-,-,-,,14.10
83,Robert Tonyan,TE,GB,-,-,-,-,-,4,39,1,-,-,-,,13.90
84,Kenyan Drake,RB,ARI,-,-,-,49,1,2,9,-,-,-,-,,13.80
85,Eric Ebron,TE,PIT,-,-,-,-,-,7,68,-,-,-,-,,13.80
86,Deebo Samuel,WR,SF,-,-,-,3,-,6,73,-,-,-,-,,13.60
87,Ezekiel Elliott,RB,DAL,-,-,-,77,-,4,18,-,-,-,-,,13.50
88,Wayne Gallman,RB,NYG,-,-,-,135,-,-,-,-,-,-,-,,13.50
89,Allen Robinson,WR,CHI,-,-,-,-,-,6,75,-,-,-,-,,13.50
90,Tre'Quan Smith,WR,NO,-,-,-,3,-,3,42,1,-,-,-,,13.50
91,Cordarrelle Patterson,WR,CHI,-,-,-,59,1,1,4,-,-,-,-,,13.30
92,Mitchell Trubisky,QB,CHI,267,1,-,6,-,-,-,-,-,-,-,,13.28
93,JK Dobbins,RB,BAL,-,-,-,71,1,-,-,-,-,-,-,,13.10
94,DK Metcalf,WR,SEA,-,-,-,-,-,5,80,-,-,-,-,,13.00
95,Matt Ryan,QB,ATL,273,1,-,-,-,-,-,-,-,-,-,,12.92
96,Dawson Knox,TE,BUF,-,-,-,-,-,4,27,1,-,-,-,,12.70
97,Collin Johnson,WR,JAX,-,-,-,-,-,4,66,-,-,-,1,,12.60
98,Tyler Higbee,TE,LAR,-,-,-,-,-,4,24,1,-,-,-,,12.40
99,Tyler Lockett,WR,SEA,-,-,-,-,-,6,63,-,-,-,-,,12.30
100,Nyheim Hines,RB,IND,-,-,-,10,1,3,22,-,-,-,-,,12.20
101,Jordan Reed,TE,SF,-,-,-,-,-,3,32,1,-,-,-,,12.20
102,Mike Glennon,QB,JAX,280,1,2,9,-,-,-,-,-,-,1,,12.10
103,Drew Sample,TE,CIN,-,-,-,-,-,7,49,-,-,-,-,,11.90
104,Jared Cook,TE,NO,-,-,-,-,-,3,28,1,-,-,-,,11.80
105,Dallas Goedert,TE,PHI,-,-,-,-,-,5,66,-,-,-,-,,11.60
106,Brandin Cooks,WR,HOU,-,-,-,-,-,5,65,-,-,-,-,,11.50
107,Jalen Reagor,WR,PHI,-,-,-,11,-,1,34,-,1,-,-,,11.50
108,Devin Singletary,RB,BUF,-,-,-,61,-,3,22,-,-,-,-,,11.30
109,Isaiah McKenzie,WR,BUF,-,-,-,-,-,2,31,1,-,-,-,,11.10
110,Drew Lock,QB,DEN,151,2,2,9,-,-,-,-,-,-,-,,10.94
111,Anthony Miller,WR,CHI,-,-,-,3,-,5,56,-,-,-,-,,10.90
112,Miles Boykin,WR,BAL,-,-,-,-,-,1,38,1,-,-,-,,10.80
113,Austin Ekeler,RB,LAC,-,-,-,36,-,4,32,-,-,-,-,,10.80
114,AJ Brown,WR,TEN,-,-,-,-,-,4,87,-,-,-,-,,10.70
115,Jeremy McNichols,RB,TEN,-,-,-,2,1,3,15,-,-,-,-,,10.70
116,Tee Higgins,WR,CIN,-,-,-,-,-,5,56,-,-,-,-,,10.60
117,CeeDee Lamb,WR,DAL,-,-,-,-,-,6,46,-,-,-,-,,10.60
118,Tyler Eifert,TE,JAX,-,-,-,-,-,6,45,-,-,-,-,,10.50
119,Damien Harris,RB,NE,-,-,-,80,-,1,15,-,-,-,-,,10.50
120,Cameron Batson,WR,TEN,-,-,-,-,-,3,14,1,-,-,-,,10.40
121,Gerald Everett,TE,LAR,-,-,-,-,-,6,44,-,-,-,-,,10.40
122,David Johnson,RB,HOU,-,-,-,44,1,-,-,-,-,-,-,,10.40
123,Gus Edwards,RB,BAL,-,-,-,101,-,-,-,-,-,-,-,,10.10
124,Anthony Firkser,TE,TEN,-,-,-,-,-,5,51,-,-,-,-,,10.10
125,Keenan Allen,WR,LAC,-,-,-,-,-,5,48,-,-,-,-,,9.80
126,JuJu Smith-Schuster,WR,PIT,-,-,-,-,-,7,28,-,-,-,-,,9.80
127,Noah Fant,TE,DEN,-,-,-,-,-,4,57,-,-,-,-,,9.70
128,Michael Pittman,WR,IND,-,-,-,-,-,5,46,-,-,-,-,,9.60
129,N'Keal Harry,WR,NE,-,-,-,-,-,2,15,1,-,-,-,,9.50
130,Jalen Hurts,QB,PHI,109,1,1,29,-,-,-,-,-,-,-,,9.26
131,Danny Amendola,WR,DET,-,-,-,-,-,3,62,-,-,-,-,,9.20
132,Lynn Bowden,RB,MIA,-,-,-,11,-,4,41,-,-,-,-,,9.20
133,Duke Johnson,RB,HOU,-,-,-,8,-,6,24,-,-,-,-,,9.20
134,Emmanuel Sanders,WR,NO,-,-,-,-,-,5,39,-,-,-,-,,8.90
135,Kareem Hunt,RB,CLE,-,-,-,33,-,3,24,-,-,-,-,,8.70
136,Hunter Renfrow,WR,LV,-,-,-,-,-,4,47,-,-,-,-,,8.70
137,Brandon Allen,QB,CIN,153,1,1,3,-,-,-,-,-,-,-,,8.42
138,Colt McCoy,QB,NYG,105,1,1,2,-,-,-,-,-,-,1,,8.40
139,Dalton Schultz,TE,DAL,-,-,-,-,-,4,44,-,-,-,-,,8.40
140,Peyton Barber,RB,WSH,-,-,-,23,1,-,-,-,-,-,-,,8.30
141,Darnell Mooney,WR,CHI,-,-,-,-,-,4,43,-,-,-,-,,8.30
142,Mike Williams,WR,LAC,-,-,-,-,-,4,43,-,-,-,-,,8.30
143,CJ Ham,RB,MIN,-,-,-,-,-,1,12,1,-,-,-,,8.20
144,Kyle Juszczyk,RB,SF,-,-,-,5,-,1,6,1,-,-,-,,8.10
145,James O'Shaughnessy,TE,JAX,-,-,-,-,-,4,41,-,-,-,-,,8.10
146,Allen Lazard,WR,GB,-,-,-,-,-,3,50,-,-,-,-,,8.00
147,Denzel Mims,WR,NYJ,-,-,-,-,-,2,40,-,-,-,1,,8.00
148,Jesse James,TE,DET,-,-,-,-,-,1,9,1,-,-,-,,7.90
149,Jeff Wilson,RB,SF,-,-,-,47,-,2,12,-,-,-,-,,7.90
150,Nelson Agholor,WR,LV,-,-,-,-,-,4,38,-,-,-,-,,7.80
151,Le'Veon Bell,RB,KC,-,-,-,40,-,2,15,-,-,-,-,,7.50
152,Kendrick Bourne,WR,SF,-,-,-,-,-,4,35,-,-,-,-,,7.50
153,DeVante Parker,WR,MIA,-,-,-,-,-,4,35,-,-,-,-,,7.50
154,Sammy Watkins,WR,KC,-,-,-,-,-,4,35,-,-,-,-,,7.50
155,Josh Adams,RB,NYJ,-,-,-,74,-,-,-,-,-,-,-,,7.40
156,Evan Engram,TE,NYG,-,-,-,-,-,4,32,-,-,-,-,,7.20
157,Noah Brown,WR,DAL,-,-,-,-,-,3,40,-,-,-,-,,7.00
158,Golden Tate,WR,NYG,-,-,-,-,-,4,30,-,-,-,-,,7.00
159,Kalen Ballage,RB,LAC,-,-,-,34,-,3,5,-,-,-,-,,6.90
160,Will Dissly,TE,SEA,-,-,-,-,-,4,28,-,-,-,-,,6.80
161,Sony Michel,RB,NE,-,-,-,35,-,1,23,-,-,-,-,,6.80
162,Van Jefferson,WR,LAR,-,-,-,-,-,4,27,-,-,-,-,,6.70
163,KeeSean Johnson,WR,ARI,-,-,-,-,-,4,27,-,-,-,-,,6.70
164,Chase Edmonds,RB,ARI,-,-,-,28,-,2,15,-,-,-,-,,6.30
165,Jarrett Stidham,QB,NE,61,1,-,-2,-,-,-,-,-,-,-,,6.24
166,Jakeem Grant,WR,MIA,-,-,-,-,-,2,42,-,-,-,-,,6.20
167,Devontae Booker,RB,LV,-,-,-,50,-,1,1,-,-,-,-,,6.10
168,DJ Chark,WR,JAX,-,-,-,-,-,2,41,-,-,-,-,,6.10
169,Derrick Henry,RB,TEN,-,-,-,60,-,1,9,-,-,-,-,,5.90
170,Demarcus Robinson,WR,KC,-,-,-,-,-,2,39,-,-,-,-,,5.90
171,Chase Claypool,WR,PIT,-,-,-,-,-,2,38,-,-,-,-,,5.80
172,Jalen Guyton,WR,LAC,-,-,-,-,-,2,38,-,-,-,-,,5.80
173,Steven Sims,WR,WSH,-,-,-,-,-,4,17,-,-,-,-,,5.70
174,Mohamed Sanu,WR,DET,-,-,-,-,-,2,36,-,-,-,-,,5.60
175,Jamaal Williams,RB,GB,-,-,-,26,-,2,10,-,-,-,-,,5.60
176,Mo Alie-Cox,TE,IND,-,-,-,-,-,3,23,-,-,-,-,,5.30
177,Braxton Berrios,WR,NYJ,-,-,-,-,-,2,33,-,-,-,-,,5.30
178,Raheem Mostert,RB,SF,-,-,-,42,-,1,1,-,-,-,-,,5.30
179,Darrel Williams,RB,KC,-,-,-,38,-,1,5,-,-,-,-,,5.30
180,Charlie Woerner,TE,SF,-,-,-,-,-,2,33,-,-,-,-,,5.30
181,Sterling Shepard,WR,NYG,-,-,-,-,-,1,22,-,-,-,1,,5.20
182,Zach Ertz,TE,PHI,-,-,-,-,-,2,31,-,-,-,-,,5.10
183,Ryan Griffin,TE,NYJ,-,-,-,-,-,2,31,-,-,-,-,,5.10
184,Jacob Hollister,TE,SEA,-,-,-,-,-,3,20,-,-,-,-,,5.00
185,Carson Wentz,QB,PHI,79,-,-,18,-,-,-,-,-,-,-,,4.96
186,Giovani Bernard,RB,CIN,-,-,-,30,-,2,-1,-,-,-,-,,4.90
187,Ross Dwelley,TE,SF,-,-,-,-,-,2,29,-,-,-,-,,4.90
188,KJ Hamler,WR,DEN,-,-,-,13,-,2,16,-,-,-,-,,4.90
189,Marcedes Lewis,TE,GB,-,-,-,-,-,1,36,-,-,-,-,,4.60
190,Jamal Agnew,WR,DET,-,-,-,-,-,2,24,-,-,-,-,,4.40
191,Austin Hooper,TE,CLE,-,-,-,-,-,2,24,-,-,-,-,,4.40
192,Ito Smith,RB,ATL,-,-,-,36,-,1,-2,-,-,-,-,,4.40
193,Justin Herbert,QB,LAC,209,-,2,-,-,-,-,-,-,-,-,,4.36
194,Patrick Laird,RB,MIA,-,-,-,6,-,2,16,-,-,-,-,,4.20
195,Jaylen Samuels,RB,PIT,-,-,-,1,-,3,11,-,-,-,-,,4.20
196,Carlos Hyde,RB,SEA,-,-,-,1,-,3,10,-,-,-,-,,4.10
197,Donald Parham,TE,LAC,-,-,-,-,-,2,21,-,-,-,-,,4.10
198,Ameer Abdullah,RB,MIN,-,-,-,11,-,1,18,-,-,-,-,,3.90
199,Mark Ingram,RB,BAL,-,-,-,28,-,1,1,-,-,-,-,,3.90
200,Adam Trautman,TE,NO,-,-,-,-,-,3,9,-,-,-,-,,3.90
201,Tony Pollard,RB,DAL,-,-,-,22,-,1,6,-,-,-,-,,3.80
202,Jordan Wilkins,RB,IND,-,-,-,12,-,2,6,-,-,-,-,,3.80
203,Malcolm Brown,RB,LAR,-,-,-,-3,-,1,30,-,-,-,-,,3.70
204,Alex Erickson,WR,CIN,-,-,-,-,-,2,17,-,-,-,-,,3.70
205,Latavius Murray,RB,NO,-,-,-,17,-,2,-,-,-,-,-,,3.70
206,Damiere Byrd,WR,NE,-,-,-,-,-,2,16,-,-,-,-,,3.60
207,Durham Smythe,TE,MIA,-,-,-,-,-,2,16,-,-,-,-,,3.60
208,Jakobi Meyers,WR,NE,-,-,-,-,-,2,15,-,-,-,-,,3.50
209,Terry McLaurin,WR,WSH,-,-,-,-,-,2,14,-,-,-,-,,3.40
210,Breshad Perriman,WR,NYJ,-,-,-,-,-,1,22,-,-,-,-,,3.20
211,DeeJay Dallas,RB,SEA,-,-,-,-,-,2,11,-,-,-,-,,3.10
212,Kerryon Johnson,RB,DET,-,-,-,3,-,2,8,-,-,-,-,,3.10
213,Josh Reynolds,WR,LAR,-,-,-,-,-,1,21,-,-,-,-,,3.10
214,Patrick Ricard,RB,BAL,-,-,-,-,-,2,11,-,-,-,-,,3.10
215,Miles Sanders,RB,PHI,-,-,-,31,-,-,-,-,-,-,-,,3.10
216,James White,RB,NE,-,-,-,-,-,3,1,-,-,-,-,,3.10
217,Jordan Akins,TE,HOU,-,-,-,-,-,2,10,-,-,-,-,,3.00
218,Chad Beebe,WR,MIN,-,-,-,-,-,2,10,-,-,-,-,,3.00
219,Todd Gurley,RB,ATL,-,-,-,16,-,1,4,-,-,-,-,,3.00
220,Benny Snell,RB,PIT,-,-,-,5,-,2,5,-,-,-,-,,3.00
221,Andy Isabella,WR,ARI,-,-,-,-,-,2,7,-,-,-,-,,2.70
222,Jalen Richard,RB,LV,-,-,-,11,-,1,6,-,-,-,-,,2.70
223,Nick Vannett,TE,DEN,-,-,-,-,-,2,7,-,-,-,-,,2.70
224,Phillip Lindsay,RB,DEN,-,-,-,26,-,-,-,-,-,-,-,,2.60
225,Mecole Hardman,WR,KC,-,-,-,-,-,1,15,-,-,-,-,,2.50
226,Nick Keizer,TE,KC,-,-,-,-,-,1,15,-,-,-,-,,2.50
227,Ray-Ray McCloud,WR,PIT,-,-,-,-,-,2,4,-,-,-,-,,2.40
228,Zack Moss,RB,BUF,-,-,-,9,-,1,5,-,-,-,-,,2.40
229,Darius Slayton,WR,NYG,-,-,-,-,-,1,14,-,-,-,-,,2.40
230,Malik Taylor,WR,GB,-,-,-,-,-,1,14,-,-,-,-,,2.40
231,Joshua Kelley,RB,LAC,-,-,-,-,-,2,3,-,-,-,-,,2.30
232,Javon Wims,WR,CHI,-,-,-,-,-,1,13,-,-,-,-,,2.30
233,Jack Doyle,TE,IND,-,-,-,-,-,1,12,-,-,-,-,,2.20
234,Luke Willson,TE,BAL,-,-,-,-,-,1,12,-,-,-,-,,2.20
235,Trey Burton,TE,IND,-,-,-,-,-,1,11,-,-,-,-,,2.10
236,Tyrie Cleveland,WR,DEN,-,-,-,-,-,1,11,-,-,-,-,,2.10
237,Zach Pascal,WR,IND,-,-,-,-,-,1,11,-,-,-,-,,2.10
238,Tyler Conklin,TE,MIN,-,-,-,-,-,1,10,-,-,-,-,,2.00
239,Jordan Howard,RB,,-,-,-,19,-,-,-,-,-,-,-,,1.90
240,Adam Humphries,WR,TEN,-,-,-,-,-,1,9,-,-,-,-,,1.90
241,Hayden Hurst,TE,ATL,-,-,-,-,-,1,9,-,-,-,-,,1.90
242,Brandon Powell,WR,ATL,-,-,-,-,-,1,9,-,-,-,-,,1.90
243,Brian Hill,RB,ATL,-,-,-,18,-,-,-,-,-,-,-,,1.80
244,Keelan Cole,WR,JAX,-,-,-,-,-,1,7,-,-,-,-,,1.70
245,KJ Hill,WR,LAC,-,-,-,-,-,1,7,-,-,-,-,,1.70
246,Mack Hollins,WR,MIA,-,-,-,-,-,1,7,-,-,-,-,,1.70
247,Equanimeous St Brown,WR,GB,-,-,-,-,-,1,7,-,-,-,-,,1.70
248,Stephen Anderson,TE,LAC,-,-,-,-,-,1,6,-,-,-,-,,1.60
249,Ryan Izzo,TE,NE,-,-,-,-,-,1,6,-,-,-,-,,1.60
250,Tommylee Lewis,WR,,-,-,-,16,-,-,-,-,-,-,-,,1.60
251,David Moore,WR,SEA,-,-,-,-,-,1,6,-,-,-,-,,1.60
252,Hunter Henry,TE,LAC,-,-,-,-,-,1,5,-,-,-,-,,1.50
253,Jerry Jeudy,WR,DEN,-,-,-,-,-,1,5,-,-,-,-,,1.50
254,D'Ernest Johnson,RB,CLE,-,-,-,-,-,1,5,-,-,-,-,,1.50
255,Anthony McFarland,RB,PIT,-,-,-,15,-,-,-,-,-,-,-,,1.50
256,David Njoku,TE,CLE,-,-,-,-,-,1,5,-,-,-,-,,1.50
257,Isaiah Wright,WR,WSH,-,-,-,-,-,1,5,-,-,-,-,,1.50
258,Antonio Gibson,RB,WSH,-,-,-,14,-,-,-,-,-,-,-,,1.40
259,Justice Hill,RB,BAL,-,-,-,-,-,1,4,-,-,-,-,,1.40
260,Kaden Smith,TE,NYG,-,-,-,-,-,1,3,-,-,-,-,,1.30
261,Blake Bell,TE,DAL,-,-,-,-,-,1,2,-,-,-,-,,1.20
262,Chris Conley,WR,JAX,-,-,-,-,-,2,12,-,-,-,-,,1.20
263,Devin Duvernay,WR,BAL,-,-,-,-,-,1,2,-,-,-,-,,1.20
264,Alec Ingold,RB,LV,-,-,-,-,-,1,2,-,-,-,-,,1.20
265,Christian Kirk,WR,ARI,-,-,-,-,-,1,2,-,-,-,-,,1.20
266,Jakob Johnson,TE,NE,-,-,-,-,-,1,1,-,-,-,-,,1.10
267,Tyron Johnson,WR,LAC,-,-,-,-,-,1,1,-,-,-,-,,1.10
268,Boston Scott,RB,PHI,-,-,-,9,-,-,-,-,-,-,-,,0.90
269,CJ Board,WR,NYG,-,-,-,-,-,1,-2,-,-,-,-,,0.80
270,Elijhaa Penny,RB,NYG,-,-,-,8,-,-,-,-,-,-,-,,0.80
271,Dare Ogunbowale,RB,JAX,-,-,-,7,-,-,-,-,-,-,-,,0.70
272,Samaje Perine,RB,CIN,-,-,-,7,-,-,-,-,-,-,-,,0.70
273,Dion Lewis,RB,NYG,-,-,-,6,-,-,-,-,-,-,-,,0.60
274,Donte Moncrief,WR,NE,-,-,-,4,-,-,-,-,-,-,-,,0.40
275,Frank Gore,RB,NYJ,-,-,-,2,-,-,-,-,-,-,-,,0.20
276,Jacoby Brissett,QB,IND,-,-,-,1,-,-,-,-,-,-,-,,0.10
277,Christian Blake,WR,ATL,-,-,-,-,-,-,-,-,-,-,-,,0.00
278,Khari Blasingame,RB,TEN,-,-,-,-,-,-,-,-,-,-,-,,0.00
279,Daniel Brown,TE,NYJ,-,-,-,-,-,-,-,-,-,-,-,,0.00
280,Antonio Callaway,WR,MIA,-,-,-,-,-,-,-,-,-,-,-,,0.00
281,Cethan Carter,TE,CIN,-,-,-,-,-,-,-,-,-,-,-,,0.00
282,DeAndre Carter,WR,CHI,-,-,-,-,-,-,-,-,-,-,-,,0.00
283,Dan Chisena,WR,MIN,-,-,-,-,-,-,-,-,-,-,-,,0.00
284,Nathan Cottrell,RB,JAX,-,-,-,-,-,-,-,-,-,-,-,,0.00
285,Ashton Dulin,WR,IND,-,-,-,-,-,-,-,-,-,-,-,,0.00
286,Bryan Edwards,WR,LV,-,-,-,-,-,-,-,-,-,-,-,,0.00
287,Tyler Ervin,RB,GB,-,-,-,-,-,-,-,-,-,-,-,,0.00
288,Darren Fells,TE,HOU,-,-,-,-,-,-,-,-,-,-,-,,0.00
289,Travis Fulgham,WR,PHI,-,-,-,-,-,-,-,-,-,-,-,,0.00
290,Troy Fumagalli,TE,,-,-,-,-,-,-,-,-,-,-,-,,0.00
291,Jaeden Graham,TE,ATL,-,-,-,-,-,-,-,-,-,-,-,,0.00
292,Jimmy Graham,TE,CHI,-,-,-,-,-,-,-,-,-,-,-,,0.00
293,AJ Green,WR,CIN,-,-,-,-,-,-,-,-,-,-,-,,0.00
294,John Hightower,WR,PHI,-,-,-,-,-,-,-,-,-,-,-,,0.00
295,JP Holtz,TE,CHI,-,-,-,-,-,-,-,-,-,-,-,,0.00
296,Buddy Howell,RB,HOU,-,-,-,-,-,-,-,-,-,-,-,,0.00
297,Richie James,WR,SF,-,-,-,-,-,-,-,-,-,-,-,,0.00
298,Alshon Jeffery,WR,PHI,-,-,-,-,-,-,-,-,-,-,-,,0.00
299,Zay Jones,WR,LV,-,-,-,-,-,-,-,-,-,-,-,,0.00
300,James Morgan,QB,NYJ,-,-,-,-,-,-,-,-,-,-,-,,0.00
301,Stanley Morgan,WR,,-,-,-,-,-,-,-,-,-,-,-,,0.00
302,Ryan Nall,RB,CHI,-,-,-,-,-,-,-,-,-,-,-,,0.00
303,KJ Osborn,WR,MIN,-,-,-,-,-,-,-,-,-,-,-,,0.00
304,James Proche,WR,BAL,-,-,-,-,-,-,-,-,-,-,-,,0.00
305,Kalif Raymond,WR,TEN,-,-,-,-,-,-,-,-,-,-,-,,0.00
306,Andre Roberts,WR,BUF,-,-,-,-,-,-,-,-,-,-,-,,0.00
307,Kyle Rudolph,TE,MIN,-,-,-,-,-,-,-,-,-,-,-,,0.00
308,Eric Saubert,TE,JAX,-,-,-,-,-,-,-,-,-,-,-,,0.00
309,Mason Schreck,TE,CIN,-,-,-,-,-,-,-,-,-,-,-,,0.00
310,Adam Shaheen,TE,MIA,-,-,-,-,-,-,-,-,-,-,-,,0.00
311,Trent Sherfield,WR,ARI,-,-,-,-,-,-,-,-,-,-,-,,0.00
