,Name,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks),Salary
257,Keith Smith,0.0,0.8,0.8,0.9,0.1,0.6,0.6,4500
258,Keke Coutee,0.0,2.1,0.0,0.0,0.0,2.1,,4500
259,Kenny Golladay,0.0,0.0,14.7,14.2,0.0,14.4,14.4,7200
260,Kenny Stills,0.0,2.6,5.0,10.9,1.9,5.1,5.9,4800
261,Kerryon Johnson,1.4,9.2,3.5,1.7,0.0,4.0,2.6,5000
262,KhaDarel Hodge,1.7,4.9,0.0,0.0,0.0,3.3,,4500
263,Khari Blasingame,1.0,0.0,0.0,0.0,0.0,1.0,,4500
264,Kirk Cousins,22.8,1.5,21.4,14.9,17.2,15.6,17.8,7100
265,Krishawn Hogan,0.0,0.0,0.0,0.0,0.0,,,
266,Kyle Lauletta,0.0,0.0,0.0,0.0,0.0,,,6000
267,Kyle Markway,0.0,0.0,0.0,0.0,0.0,,,4000
268,Kyle Rudolph,3.8,0.0,8.1,3.7,1.5,4.3,4.4,4500
269,La'Mical Perine,0.0,1.7,3.3,1.5,0.0,2.2,2.4,
270,Lamar Jackson,27.5,17.6,16.2,26.0,14.5,20.4,18.9,9000
271,Laviska Shenault Jr.,12.2,8.7,5.9,11.6,11.4,10.0,9.6,5800
272,Le'Veon Bell,5.6,0.0,0.0,0.0,7.2,6.4,7.2,6100
273,LeSean McCoy,0.7,4.6,3.4,1.1,0.0,2.4,2.2,4800
274,Leonard Fournette,2.4,25.6,3.2,0.0,0.0,10.4,3.2,5500
275,Levante Bellamy,0.0,0.0,0.0,0.0,0.0,,,
276,Levine Toilolo,1.8,0.0,0.0,0.0,0.0,1.8,,4000
277,Logan Woodside,0.0,0.0,0.0,0.0,0.0,,,6000
278,Luke Stocker,0.0,0.0,1.1,0.0,0.7,0.9,0.9,4000
279,Lynn Bowden,0.0,0.4,0.0,0.5,0.4,0.4,0.4,
280,Mack Hollins,0.0,0.0,0.0,0.0,0.0,,,4500
281,Malcolm Perry,0.0,0.0,0.0,0.0,0.0,,,4500
282,Malik Taylor,0.0,0.0,0.0,2.5,0.0,2.5,2.5,4500
283,Marcedes Lewis,0.0,0.9,8.3,0.0,0.0,4.6,8.3,4600
284,Mark Andrews,20.3,3.4,3.7,19.2,14.6,12.2,12.5,7600
285,Mark Ingram,2.9,14.7,3.0,10.2,5.7,7.3,6.3,
286,Marlon Mack,7.1,0.0,0.0,0.0,0.0,7.1,,4500
287,Marqise Lee,0.0,0.0,0.0,0.0,0.0,,,4500
288,Marquez Valdes-Scantling,17.6,7.9,1.0,6.5,0.0,8.2,3.8,5600
289,Marquise Brown,12.6,6.7,2.3,10.6,16.8,9.8,9.9,6300
290,Marquise Goodwin,0.0,0.0,0.0,0.0,0.0,,,4500
291,Marvin Hall,3.1,8.9,0.0,0.0,0.0,6.0,,4800
292,Marvin Jones,7.5,10.3,6.6,1.4,0.0,6.4,4.0,
293,Mason Kinsey,0.0,0.0,0.0,0.0,0.0,,,4500
294,Mason Rudolph,0.0,0.0,0.0,0.0,0.0,,,6000
295,Mason Schreck,0.0,0.0,0.0,0.0,0.0,,,4000
296,Matt Breida,2.2,4.4,0.4,6.3,6.4,3.9,4.4,4900
297,Matt Flanagan,0.0,0.0,0.0,0.0,0.0,,,
298,Matt LaCosse,0.0,0.0,0.0,0.0,0.0,,,4000
299,Matt Ryan,24.9,28.5,12.4,12.4,7.9,17.2,10.9,7400
300,Matt Schaub,0.0,0.0,0.0,0.0,0.0,,,6000
301,Matthew Slater,0.0,0.0,0.0,0.0,0.0,,,4500
302,Matthew Stafford,17.2,17.2,18.5,23.3,0.0,19.0,20.9,7300
303,Melvin Gordon,16.1,15.4,5.8,24.8,0.0,15.5,15.3,
304,Michael Pittman,2.0,5.7,4.1,0.0,0.0,3.9,4.1,
305,Mike Boone,0.0,0.0,0.0,0.0,1.9,1.9,1.9,5100
306,Mike Davis,0.0,11.5,19.1,19.6,25.4,18.9,21.4,7500
307,Mike Evans,6.7,19.9,13.2,21.7,12.6,14.8,15.8,7600
308,Mike Gesicki,4.5,23.0,8.0,2.0,11.6,9.8,7.2,5600
309,Mike Glennon,0.0,0.0,0.0,0.0,0.0,,,6000
310,Mike Thomas,2.7,11.1,1.9,1.0,1.2,3.6,1.4,4700
311,Mike Warren,0.0,0.0,0.0,0.0,0.0,,,
312,Miles Boykin,5.2,5.8,1.3,3.8,0.0,4.0,2.6,4600
313,Miles Sanders,0.0,20.6,12.7,8.6,22.9,16.2,14.7,7600
314,Mitchell Trubisky,24.3,15.2,12.6,0.0,0.0,17.4,12.6,7000
315,Mo Alie-Cox,3.0,13.6,12.5,7.8,0.0,9.2,10.2,5300
316,MyCole Pruitt,6.6,0.0,2.6,0.0,0.0,4.6,2.6,4000
317,Myles Gaskin,8.6,11.2,12.0,7.7,17.6,11.4,12.4,5700
318,N'Keal Harry,6.4,11.2,4.6,9.6,0.0,8.0,7.1,5400
319,Nate Sudfeld,0.0,0.0,0.0,0.0,0.0,,,6000
320,Nick Bawden,0.0,0.0,0.0,0.0,0.0,,,4500
321,Nick Boyle,1.3,1.6,7.0,1.4,0.7,2.4,3.0,4100
322,Nick Chubb,7.1,25.8,23.5,4.3,0.0,15.2,13.9,8000
323,Nick Foles,0.0,0.0,18.2,12.9,12.6,14.6,14.6,6900
324,Nick Vannett,-0.1,0.0,0.0,1.2,0.0,0.5,1.2,4000
325,Nick Westbrook,0.0,0.0,0.0,0.0,1.2,1.2,1.2,
326,Noah Fant,16.6,15.7,7.1,6.0,0.0,11.4,6.6,5800
327,Noah Togiai,0.0,0.0,0.0,0.0,0.0,,,4000
328,Nyheim Hines,23.3,0.9,8.1,4.7,4.0,8.2,5.6,5000
329,O.J. Howard,11.6,1.6,6.4,12.5,0.0,8.0,9.4,4000
330,Odell Beckham Jr.,3.7,15.4,7.9,35.9,8.9,14.4,17.6,6700
331,Olamide Zaccheaus,0.0,1.5,6.1,12.6,1.8,5.5,6.8,4900
332,Omar Bayless,0.0,0.0,0.0,0.0,0.0,,,4500
333,P.J. Walker,0.0,0.0,0.0,0.0,0.0,,,
334,Parris Campbell,11.0,0.7,0.0,0.0,0.0,5.8,,4500
335,Patrick Laird,1.9,0.0,0.0,0.0,0.0,1.9,,4500
336,Patrick Ricard,1.3,6.6,0.0,0.0,1.2,3.0,1.2,4500
337,Patrick Taylor,0.0,0.0,0.0,0.0,0.0,,,
338,Pharaoh Brown,0.0,0.0,0.0,0.0,0.9,0.9,0.9,4000
339,Pharoh Cooper,0.0,0.0,0.0,0.0,1.7,1.7,1.7,4500
340,Philip Rivers,16.8,11.9,12.7,11.2,7.6,12.0,10.5,6800
341,Phillip Lindsay,4.0,0.0,0.0,0.0,0.0,4.0,,5100
342,Preston Williams,5.1,5.1,7.7,4.0,18.6,8.1,10.1,5400
343,Qadree Ollison,0.0,0.0,0.0,0.0,0.0,,,4500
344,Quez Watkins,0.0,0.0,0.0,0.0,0.0,,,4500
345,Quincy Adeboyejo,0.0,0.0,0.0,0.0,0.0,,,4500
346,Quintez Cephus,5.8,6.9,0.0,0.0,0.0,6.4,,4700
347,Randall Cobb,3.3,8.4,17.5,4.6,7.7,8.3,9.9,5100
348,Rashard Higgins,1.4,0.0,0.0,0.0,10.6,6.0,10.6,4500
349,Ray-Ray McCloud,0.0,0.0,0.0,0.0,9.0,9.0,9.0,
350,Rex Burkhead,3.2,6.9,31.3,5.5,0.0,11.7,18.4,5600
351,Richard Rodgers,0.0,0.0,2.5,5.0,2.3,3.3,3.3,4400
352,Riley Ridley,0.0,0.0,0.0,0.0,0.0,,,4500
