,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
284,DaeSean Hamilton,DEN,NO,2.3,1.0,,1.4,,0.0,3.6,16.2,2.2,9.3,,4.5,9.2,4700,,6.08
199,Donovan Peoples-Jones,CLE,JAX,,,,,,0.0,13.1,,,2.6,,5.2,5.2,4700,,6.08
151,Olamide Zaccheaus,ATL,LV,,1.5,6.1,12.6,1.8,0.0,0.0,,18.3,,1.5,5.2,6.6,4600,,5.66
372,Tre'Quan Smith,NO,DEN,0.9,11.1,6.2,19.4,1.8,,7.4,6.8,7.9,0.0,,6.8,4.9,5000,,5.63
139,Henry Ruggs III,LV,ATL,8.1,0.9,,,18.8,,5.5,1.9,1.0,4.6,2.2,5.4,2.6,5500,,5.56
46,A.J. Green,CIN,NYG,7.6,4.4,6.1,0.8,0.0,13.6,11.7,2.9,,0.0,12.1,5.9,5.0,5300,,5.55
256,Gabriel Davis,BUF,LAC,2.6,7.1,10.1,9.1,8.3,1.2,1.6,0.0,15.0,0.0,,5.5,5.0,4800,,5.45
329,Scott Miller,TB,KC,10.4,2.2,9.8,16.8,,1.1,19.9,5.7,1.5,0.9,,7.6,2.7,,,5.43
98,T.Y. Hilton,IND,TEN,7.3,4.3,6.7,4.4,9.9,1.6,,1.9,,6.0,5.1,5.2,4.3,5400,,5.38
146,Chris Conley,JAX,CLE,1.1,6.8,4.9,5.9,6.8,1.1,,,8.7,6.3,1.8,4.8,5.6,4900,O,5.32
179,Braxton Berrios,NYJ,MIA,,14.9,14.4,0.0,1.3,2.3,5.5,7.4,1.8,,,5.9,4.9,4700,,5.16
183,Marquez Callaway,NO,DEN,,,,2.1,5.4,,11.5,,2.1,,,5.3,6.3,4700,,5.07
236,Kendrick Bourne,SF,LAR,4.4,8.7,8.3,4.8,10.0,5.4,0.0,12.1,,4.6,,6.5,5.6,5200,,4.76
77,N'Keal Harry,NE,ARI,4.4,11.2,4.6,9.6,,0.0,1.1,,,,6.6,5.4,2.6,5300,Q,4.64
133,De'Michael Harris,IND,TEN,,,,,,4.4,,,7.5,2.6,2.5,4.2,4.2,,,4.58
99,Tyron Johnson,LAC,BUF,,,,11.8,0.7,,1.0,,5.5,,5.9,5.0,4.1,4500,,4.57
267,Isaiah Ford,NE,ARI,2.3,11.1,2.4,6.8,3.3,,,1.5,,,,4.6,3.9,4600,,4.47
164,Jalen Guyton,LAC,BUF,2.1,7.9,3.3,13.7,5.0,,15.4,0.8,1.4,4.4,0.9,5.5,2.2,4700,,4.36
317,Austin Mack,NYG,CIN,,,,,,0.6,,,9.2,1.4,,3.7,3.7,4700,,4.14
327,Jaydon Mickens,TB,KC,,,,,3.2,,,6.1,,,,4.6,4.7,,O,4.1
143,Marcus Johnson,IND,TEN,,,,3.2,6.8,13.3,,4.9,2.4,0.0,1.9,4.6,1.4,4700,,3.97
116,Byron Pringle,KC,TB,,,,,2.8,5.6,,3.7,,,3.2,3.8,4.2,4600,IR,3.92
324,Isaiah McKenzie,BUF,LAC,3.2,5.7,1.5,3.4,8.7,0.9,1.3,,9.1,0.7,,3.8,3.7,4700,,3.84
209,Justin Watson,TB,KC,1.1,5.8,,6.0,,,,,,,,4.3,4.3,4500,,3.81
200,Kalif Raymond,TEN,IND,0.0,,13.0,,3.6,4.7,,1.6,,,,4.6,3.3,4600,,3.7
138,Zay Jones,LV,ATL,,8.0,4.7,5.2,0.7,,,,,1.1,2.3,3.7,1.4,4600,,3.67
115,Christian Blake,ATL,LV,,,,6.2,,1.0,,2.4,4.6,,3.8,3.6,3.6,4600,,3.63
168,Bryan Edwards,LV,ATL,1.4,5.2,5.8,,,,,,,2.1,0.6,3.0,2.8,4500,,3.59
152,Mack Hollins,MIA,NYJ,,,,,,,,,7.6,0.6,1.4,3.2,3.2,4600,,3.59
163,Auden Tate,CIN,NYG,,,3.9,2.0,1.7,,0.0,10.0,,3.4,1.0,3.1,4.8,4500,O,3.56
68,KhaDarel Hodge,CLE,JAX,1.7,4.9,0.0,,,,,,,0.0,8.8,3.1,2.9,4500,,3.56
