,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
352,Jalen Richard,LV,ATL,2.0,8.6,3.7,2.6,5.0,,2.4,2.3,2.7,,,3.7,,4500,Q,3.7
315,Dion Lewis,NYG,CIN,0.1,13.6,1.5,2.8,1.1,1.5,0.3,7.8,3.1,2.7,,3.4,,4900,,3.55
176,D'Onta Foreman,TEN,IND,,,,,,,,3.7,1.1,8.8,,4.5,,4900,,3.54
173,Matt Breida,MIA,NYJ,2.2,4.4,0.4,6.3,6.4,3.2,,1.3,,,,3.5,,4800,,3.53
288,Dontrell Hilliard,CLE,JAX,,,,2.6,,2.9,,,,,,2.8,,4500,,3.17
62,Le'Veon Bell,KC,TB,5.6,,,,7.2,,3.9,5.3,0.8,,,4.6,,5600,,3.17
190,D'Ernest Johnson,CLE,JAX,0.5,,,9.5,4.1,0.1,0.3,1.6,,,,2.7,,4600,,3.06
393,Austin Walter,SF,LAR,,,,,,,,,,3.5,,3.5,,,,2.87
105,Ty Johnson,NYJ,MIA,,0.0,,,,4.2,,2.6,,,,2.3,,4500,,2.72
248,Tevin Coleman,SF,LAR,2.9,5.0,,,,,,2.0,,,,3.3,,5300,Q,2.71
365,Anthony Sherman,KC,TB,0.2,,7.0,,,,,,,,,3.6,,4500,,2.48
380,J.J. Taylor,NE,ARI,3.7,-0.1,4.3,,,,,,,,,2.6,,4700,Q,2.38
323,LeSean McCoy,TB,KC,0.7,4.6,3.4,1.1,,1.2,,,,,,2.2,,4600,,2.36
112,Darrel Williams,KC,TB,4.0,1.7,1.7,0.2,2.4,10.6,,3.1,0.8,,,3.1,,4600,,2.13
400,Trayveon Williams,CIN,NYG,,,,,,,,,,2.2,,2.2,,4500,,2.03
172,Ito Smith,ATL,LV,2.1,2.0,0.0,4.2,0.6,3.0,0.0,,,,,1.7,,4700,,2.0
